[Zone]  ID=port6_royal1; locID=port6; dark=True; timeUntilNewDay=24; showFogOfWar=True; fogOfWar=True; minimapEnabled=True; allowCameraPastZoneEdges=False; cantAct=True; cantGameOver=False; alwaysKeepWeaponsUnsheathed=False; peaceful=True; overseerMode=False; rollingPinStyle=False; drawSky=False; drawSky_overrideYpos=-1; boatZone=False; wind=False; overworld=False; canDropItems=True; 
 travelSong=PM-Minstrel2; travelSongVolume=1; travelSongPitch=0; song2=; song2Volume=1; song2Pitch=0; combatSong=; combatSongVolume=1; combatSongPitch=0; combatSongDelay=0; 
darkR=209; darkG=214; darkB=211; 
 screenWaveFreq=0; screenDarkWaveFreq=0; screenWaveAmp=0.01; screenDarkWaveAmp=0.01; screenWaveSpeed=0.2; screenWaveAmp_reflect=0; 
 bgTerrainTypeID=; bgFXID=; bgFX_sineWave=0; darkenedTileTexture=darkenedTile; bgScale=1; bgParallaxRatio=1; bgMoveSpeedX=0; bgMoveSpeedY=0; 
paletteOverride=; zoneDirtPalette=pDirt; zoneGrassPalette=pGreen; zoneGrassDarkPalette=pGreen2; zoneStonePalette=p13; zoneStoneDarkPalette=p14; zoneStoneLightPalette=pGreyD; zoneWaterPalette=pBlue; zoneDirtDarkPalette=pDirt; zoneWoodPalette=pWood; zoneWoodDarkPalette=pWoodDark; zoneMisc1Palette=pRed2; zoneMisc2Palette=pYellow5; zoneMisc3Palette=pRed2; zoneMisc4Palette=pBlue; zoneMisc5Palette=pGreen; zoneMisc6Palette=pOrange; zoneMisc7Palette=pYellow; zoneMisc8Palette=pPurple; 

combatMode=False; 

[Item] ID=curtain1R_top; q=3; x=12; y=15;
[Item] ID=carpet_regal1; q=1; x=23; y=23;
[Item] ID=carpet_regal1; q=1; x=23; y=24;
[Item] ID=carpet_regal1; q=1; x=23; y=25;
[Item] ID=carpet_regal1; q=1; x=23; y=26;
[Item] ID=carpet_regal1; q=1; x=23; y=27;
[Item] ID=carpet_regal1; q=1; x=23; y=28;
[Item] ID=carpet_regal1; q=1; x=23; y=29;
[Item] ID=carpet_regal1; q=1; x=23; y=30;
[Item] ID=carpet_regal1; q=1; x=23; y=31;
[Item] ID=carpet_regal1; q=1; x=23; y=32;
[Item] ID=carpet_regal1; q=1; x=23; y=33;
[Item] ID=carpet_regal1; q=1; x=23; y=34;
[Item] ID=carpet_regal1; q=1; x=23; y=35;
[Item] ID=carpet_regal1; q=1; x=23; y=36;
[Item] ID=carpet_regal1; q=1; x=23; y=37;
[Item] ID=carpet_regal1; q=1; x=23; y=38;
[Item] ID=carpet_regal1; q=1; x=23; y=39;
[Item] ID=carpet_regal1_edge; q=1; r=270; x=23; y=40;
[Item] ID=carpet_regal1; q=1; x=24; y=13;
[Item] ID=carpet_regal1; q=1; x=24; y=14;
[Item] ID=carpet_regal1; q=1; x=24; y=15;
[Item] ID=carpet_regal1; q=1; x=24; y=16;
[Item] ID=travelPoint_1; q=1; r=90; x=24; y=16;
[Item] ID=carpet_regal1; q=1; x=24; y=17;
[Item] ID=carpet_regal1; q=1; x=24; y=18;
[Item] ID=carpet_regal1; q=1; x=24; y=19;
[Item] ID=carpet_regal1; q=1; x=24; y=20;
[Item] ID=carpet_regal1; q=1; x=24; y=21;
[Item] ID=table_mid2; q=1; x=24; y=21;
[Item] ID=tableclothM2; q=1; x=24; y=21;
[Item] ID=item_cantGrabOrPlace; q=1; x=24; y=21;
[Item] ID=carpet_regal1; q=1; x=24; y=22;
[Item] ID=carpet_regal1; q=1; x=24; y=23;
[Item] ID=carpet_regal1; q=1; x=24; y=24;
[Item] ID=carpet_regal1; q=1; x=24; y=25;
[Item] ID=carpet_regal1; q=1; x=24; y=26;
[Item] ID=carpet_regal1; q=1; x=24; y=27;
[Item] ID=carpet_regal1; q=1; x=24; y=28;
[Item] ID=carpet_regal1; q=1; x=24; y=29;
[Item] ID=carpet_regal1; q=1; x=24; y=30;
[Item] ID=carpet_regal1; q=1; x=24; y=31;
[Item] ID=carpet_regal1; q=1; x=24; y=32;
[Item] ID=carpet_regal1; q=1; x=24; y=33;
[Item] ID=carpet_regal1; q=1; x=24; y=34;
[Item] ID=carpet_regal1; q=1; x=24; y=35;
[Item] ID=carpet_regal1; q=1; x=24; y=36;
[Item] ID=carpet_regal1; q=1; x=24; y=37;
[Item] ID=carpet_regal1; q=1; x=24; y=38;
[Item] ID=carpet_regal1; q=1; x=24; y=39;
[Item] ID=travelPoint_0; q=1; r=270; x=24; y=39;
[Item] ID=carpet_regal1_edge; q=1; r=270; x=24; y=40;
[Item] ID=sunbeam_line_huge_dim; q=1; x=25; y=12;
[Item] ID=carpet_regal1; q=1; x=25; y=13;
[Item] ID=fade_f2; q=1; r=180; x=25; y=13;
[Item] ID=carpet_regal1; q=1; x=25; y=14;
[Item] ID=carpet_regal1; q=1; x=25; y=15;
[Item] ID=carpet_regal1; q=1; x=25; y=16;
[Item] ID=carpet_regal1; q=1; x=25; y=17;
[Item] ID=carpet_regal1; q=1; x=25; y=18;
[Item] ID=carpet_regal1; q=1; x=25; y=19;
[Item] ID=carpet_regal1; q=1; x=25; y=20;
[Item] ID=carpet_regal1; q=1; x=25; y=21;
[Item] ID=table_mid2; q=1; x=25; y=21;
[Item] ID=tableclothM2; q=1; x=25; y=21;
[Item] ID=item_cantGrabOrPlace; q=1; x=25; y=21;
[Item] ID=notes_blank; q=1; x=25; y=21;
[Item] ID=carpet_regal1; q=1; x=25; y=22;
[Item] ID=carpet_regal1; q=1; x=25; y=23;
[Item] ID=carpet_regal1; q=1; x=25; y=24;
[Item] ID=carpet_regal1; q=1; x=25; y=25;
[Item] ID=carpet_regal1; q=1; x=25; y=26;
[Item] ID=carpet_regal1; q=1; x=25; y=27;
[Item] ID=carpet_regal1; q=1; x=25; y=28;
[Item] ID=carpet_regal1; q=1; x=25; y=29;
[Item] ID=carpet_regal1; q=1; x=25; y=30;
[Item] ID=carpet_regal1; q=1; x=25; y=31;
[Item] ID=carpet_regal1; q=1; x=25; y=32;
[Item] ID=carpet_regal1; q=1; x=25; y=33;
[Item] ID=carpet_regal1; q=1; x=25; y=34;
[Item] ID=carpet_regal1; q=1; x=25; y=35;
[Item] ID=carpet_regal1; q=1; x=25; y=36;
[Item] ID=carpet_regal1; q=1; x=25; y=37;
[Item] ID=carpet_regal1; q=1; x=25; y=38;
[Item] ID=carpet_regal1; q=1; x=25; y=39;
[Item] ID=carpet_regal1_edge; q=1; r=270; x=25; y=40;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=13;
[Item] ID=fade_f1; q=1; x=26; y=13;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=14;
[Item] ID=fade_f2; q=1; r=180; x=26; y=14;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=15;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=16;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=17;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=18;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=19;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=20;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=21;
[Item] ID=table_mid2; q=1; x=26; y=21;
[Item] ID=tableclothR2; q=1; x=26; y=21;
[Item] ID=item_cantGrabOrPlace; q=1; x=26; y=21;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=22;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=23;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=24;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=25;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=26;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=27;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=28;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=29;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=30;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=31;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=32;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=33;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=34;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=35;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=36;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=37;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=38;
[Item] ID=carpet_regal1_edge; q=1; r=-360; x=26; y=39;
[Item] ID=carpet_regal1_corner; q=1; r=-270; x=26; y=40;
[Item] ID=fade_f2; q=1; r=-360; x=26; y=44;
[Item] ID=wall_diagonalL2; q=1; r=-360; x=27; y=16;
[Item] ID=wall_diagonalL3; q=1; r=-360; x=27; y=17;
[Item] ID=table_left2; q=1; r=-360; x=27; y=21;
[Item] ID=item_cantGrabOrPlace; q=1; x=27; y=21;
[Item] ID=box_small; q=1; x=27; y=21; containerID=1;
[Item] ID=table_big_NW; q=1; x=27; y=22;
[Item] ID=table_big_W; q=1; x=27; y=23;
[Item] ID=item_cantGrabOrPlace; q=1; x=27; y=23;
[Item] ID=table_big_SW; q=1; x=27; y=24;
[Item] ID=item_cantGrabOrPlace; q=1; x=27; y=24;
[Item] ID=notes_useless; q=1; r=360; x=27; y=24;
[Item] ID=fade_f2; q=1; r=-360; x=27; y=43;
[Item] ID=fade_f1; q=1; x=27; y=44;
[Item] ID=banner_seartial_big1; q=1; x=28; y=17;
[Item] ID=lightSphere; q=1; x=28; y=17;
[Item] ID=table_big_NE; q=1; x=28; y=22;
[Item] ID=table_big_E; q=1; x=28; y=23;
[Item] ID=item_cantGrabOrPlace; q=1; x=28; y=23;
[Item] ID=notes_useless; q=1; r=90; x=28; y=23;
[Item] ID=table_big_SE; q=1; x=28; y=24;
[Item] ID=item_cantGrabOrPlace; q=1; x=28; y=24;
[Item] ID=posters; q=2; x=28; y=24;
[Item] ID=pillar_mid2; q=1; x=28; y=28;
[Item] ID=pillar_base2; q=1; x=28; y=29;
[Item] ID=pillar_mid2; q=1; x=28; y=35;
[Item] ID=pillar_base2; q=1; x=28; y=36;
[Item] ID=wall_diagonalL2; q=1; x=29; y=16;
[Item] ID=wall_diagonalL3; q=1; r=360; x=29; y=17;
[Item] ID=table_stone; q=1; x=30; y=22;
[Item] ID=tablecloth1; q=1; x=30; y=22;
[Item] ID=table_stone; q=1; x=30; y=36;
[Item] ID=tablecloth1; q=1; x=30; y=36;
[Item] ID=wall_diagonalL2; q=1; r=-360; x=31; y=23;
[Item] ID=wall_diagonalL3; q=1; r=-360; x=31; y=24;
[Item] ID=wall_diagonalL2; q=1; r=-360; x=31; y=29;
[Item] ID=wall_diagonalL3; q=1; r=-360; x=31; y=30;
[Item] ID=brazier; q=1; x=31; y=31;
[Item] ID=wall_diagonalL2; q=1; r=-360; x=31; y=36;
[Item] ID=wall_diagonalL3; q=1; r=-360; x=31; y=37;
[Item] ID=curtain1L_top; q=3; x=32; y=15;
[Item] ID=curtain1L_btm; q=3; x=32; y=16;
[Item] ID=curtain1R_top; q=3; x=33; y=15;
[Item] ID=curtain1R_btm; q=3; x=33; y=16;
[Item] ID=fade_f2; q=1; r=-360; x=35; y=19;
[Item] ID=curtain1L_top; q=3; x=36; y=15;
[Item] ID=curtain1L_btm; q=3; x=36; y=16;
[Item] ID=fade_f2; q=1; r=-360; x=36; y=18;
[Item] ID=fade_f1; q=1; x=36; y=19;


[Actor]ID=admin; name=Admin Ovarr;
actorTypeID=rasmen; sprite=; actorClass=scholar; secondaryClass=; actorClass3=; actorClass4=; movementSpeed=6; position=24,20; destination=-1,-1; facingRot=90; actualRot=0; incapacitated=False; canSwap=False; givesXP=True; canDespawn=False; canEditAppearance=True; canLootCorpse=True; canControlFullyIfControllable=True; controllable=False; playerCanOpenInv=False; alreadyKOdOnce=False; canManipCorpse=True; idleAnimOverride=; combatMusicOverride=; statementPrefix=; hostile=False; fearless=False; unkillable=True; factionBoss=False; faction=seartial; combatTeam=; clothPalette=pCBlueD; skinPalette=pRasmen1; armorPalette=pCPurple; unarmoredPalette=pUnarmored; aiScript=; aiTarget=; aiVarX=0; aiVarY=0; aiVarX2=0; aiVarY2=0; difficultyModeSupportAbilAdded=False; favoredHand=0; incapacitated=False; dialogNodeID=royal_questgiver; aggressiveness=0.5; bravery=0.5; intelligence=0.5; honor=0.55; aiRating_bonusToNotMoving=0; aiRating_priorityMult=1; ai_extraTime=0; totalXP=0; damageTaken=0; timesKOd=0; mountedOn=; mountedBy=; male=True; movementType=; headSprite=rasmen_head; faceSprite=rasmen_face_mask_admin; legsSprite=legs_heavyBoots; armLSprite=scholar_arm; armRSprite=scholar_arm; torsoSprite=sorcerer_torso; shoulderLSprite=scholar_shoulder; shoulderRSprite=scholar_shoulder; backSprite=;
 supportAbilities=meditative;  supportAbilities=;  supportAbilities=; HP=39; MP=27; HPMax=39; MPMax=27; TrueHPMax=39; TrueMPMax=27; PhysDef=2; skill_Shield=1; skill_Wind=1; Sch_gust=1; Sch_zap=1; Sch_flame=1; Sch_frost=1; meditative=1; scholar_XP=0; scholar_XP_stars=0; 
numRanksBought=meditative=1; 
numRanksBought=TrueMPMax=7; 
numRanksBought=skill_Wind=1; 
numRanksBought=Sch_gust=1; 
numRanksBought=Sch_zap=1; 
numRanksBought=Sch_flame=1; 
numRanksBought=Sch_frost=1; 
chosenAbilityOfEachClass=scholar=Sch_flame; 

[ActorState]
canSwap=False;

[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=PhysEva; sourceAVAffecter=shirt_red; sourceType=item; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=MagDef; sourceAVAffecter=necklace_spellcatcher; sourceType=item; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=2; duration=-1;
[ActorEffect]
 actorValue=skill_Life; sourceAVAffecter=necklace_lifebead; sourceType=item; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=invincible; sourceAVAffecter=peaceful; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=MagAtk; sourceAVAffecter=scholar; sourceType=class; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=MagDef; sourceAVAffecter=scholar; sourceType=class; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=MagEva; sourceAVAffecter=scholar; sourceType=class; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=5; duration=-1;
[ActorEffect]
 actorValue=skill_Fire; sourceAVAffecter=scholar; sourceType=class; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=skill_Ice; sourceAVAffecter=scholar; sourceType=class; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=skill_Elec; sourceAVAffecter=scholar; sourceType=class; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=skill_Wind; sourceAVAffecter=scholar; sourceType=class; hideAllEffects=False; showNoDescription=False; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=sight; sourceAVAffecter=av_sight; hideAllEffects=True; showNoDescription=True; durationIsWorldtimeDays=False; magnitude=1; duration=-1;
[ActorEffect]
 actorValue=PhysEvaFlank; sourceAVAffecter=av_PhysEvaFlank; hideAllEffects=True; showNoDescription=True; durationIsWorldtimeDays=False; magnitude=8; duration=-1;
[ActorEffect]
 actorValue=blind; sourceAVAffecter=av_unblind; hideAllEffects=True; showNoDescription=True; durationIsWorldtimeDays=False; magnitude=-200; duration=-1;
[ActorEffect]
