[Zone]  ID=port29; dark=True; timeUntilNewDay=24; showFogOfWar=False; fogOfWar=True; minimapEnabled=True; allowCameraPastZoneEdges=False; cantAct=False; cantGameOver=False; alwaysKeepWeaponsUnsheathed=False; peaceful=True; overseerMode=False; rollingPinStyle=False; drawSky=False; drawSky_overrideYpos=-1; boatZone=False; wind=False; overworld=False; canDropItems=True; 
 travelSong=PM-Exotic2; travelSongVolume=1; travelSongPitch=0; combatSong=; combatSongVolume=1; combatSongPitch=0; combatSongDelay=0; 
darkR=102; darkG=102; darkB=153; 
 screenWaveFreq=0; screenDarkWaveFreq=0; screenWaveAmp=0.01; screenDarkWaveAmp=0.01; screenWaveSpeed=0.2; screenWaveAmp_reflect=0.0014; 
 bgTerrainTypeID=; bgFXID=ocean; bgFX_sineWave=12; darkenedTileTexture=darkenedTile; bgScale=1; bgParallaxRatio=1; bgMoveSpeedX=0; bgMoveSpeedY=0; 
paletteOverride=; zoneDirtPalette=p61; zoneGrassPalette=p61; zoneGrassDarkPalette=pCoralHilt; zoneStonePalette=p13; zoneStoneDarkPalette=pSilver; zoneStoneLightPalette=pVolskarnEmpty; zoneWaterPalette=pBlue2; zoneDirtDarkPalette=p60; zoneWoodPalette=pRedbrown2; zoneWoodDarkPalette=pBrown; zoneMisc1Palette=p10; zoneMisc2Palette=p14; zoneMisc3Palette=p44; zoneMisc4Palette=p29; zoneMisc5Palette=p30; zoneMisc6Palette=p43; zoneMisc7Palette=pYellow; zoneMisc8Palette=pYellow4; 

combatMode=False; zoneFX=w_cloudshade;zoneFXTime=9999999;zoneFX_x=0;zoneFX_y=0;zoneFX=w_snow;zoneFXTime=1;zoneFX_x=-1;zoneFX_y=-1;

[Item] ID=wall2_style2; q=1; x=8; y=7;
[Item] ID=wall2_style7_roof_p; q=2; x=12; y=35;
[Item] ID=carpet7; q=7; x=12; y=35;
[Item] ID=carpet_corner1; q=4; r=270; x=12; y=35;
[Item] ID=wall5_style7_p; q=2; x=12; y=36;
[Item] ID=cantBlackenTile; q=1; x=12; y=36;
[Item] ID=floor_stone6b; q=1; r=270; x=12; y=37;
[Item] ID=wall2_style2; q=1; x=13; y=7;
[Item] ID=roof2_flat5; q=1; x=13; y=7;
[Item] ID=roof2_flat5; q=1; x=13; y=8;
[Item] ID=roof2_flat5; q=1; x=13; y=9;
[Item] ID=carpet6; q=6; x=13; y=9;
[Item] ID=carpet_edge2; q=6; r=360; x=13; y=9;
[Item] ID=roof2_flat5; q=1; x=13; y=10;
[Item] ID=carpet6; q=6; x=13; y=10;
[Item] ID=carpet_edge2; q=6; r=180; x=13; y=10;
[Item] ID=roof2_flat5; q=1; x=13; y=11;
[Item] ID=roof2_flat5; q=1; x=13; y=12;
[Item] ID=roof1_ornament2; q=1; x=13; y=12;
[Item] ID=item_cantGrabOrPlace; q=1; x=13; y=12;
[Item] ID=barrel; q=1; x=13; y=12; containerID=3;
[Item] ID=wall2_style2; q=1; x=13; y=13;
[Item] ID=roof2_flat5; q=1; x=13; y=13;
[Item] ID=roof2_flat5; q=1; x=13; y=14;
[Item] ID=bookshelves_bigR1; q=1; r=360; x=13; y=14;
[Item] ID=roof2_flat5; q=1; x=13; y=15;
[Item] ID=roof2_flat5; q=1; x=13; y=16;
[Item] ID=roof1_ornament2; q=1; x=13; y=16;
[Item] ID=roof2_flat8; q=2; x=13; y=17;
[Item] ID=wall2_style2_roof; q=1; x=13; y=18;
[Item] ID=wall5_style2; q=1; x=13; y=19;
[Item] ID=cantBlackenTile; q=1; x=13; y=19;
[Item] ID=lightSphere; q=1; x=13; y=19;
[Item] ID=ice_rocks; q=1; x=13; y=20;
[Item] ID=wall2_style7_p; q=2; x=13; y=28;
[Item] ID=roof2_flat2; q=2; x=13; y=28;
[Item] ID=staircase_zStone; q=1; x=13; y=29;
[Item] ID=roof2_flat5; q=1; x=13; y=29;
[Item] ID=stair_cover; q=1; x=13; y=29;
[Item] ID=roof2_flat5; q=1; x=13; y=30;
[Item] ID=roof2_flat5; q=1; x=13; y=31;
[Item] ID=travelPoint_2; q=1; r=90; x=13; y=31;
[Item] ID=roof2_flat5; q=1; x=13; y=32;
[Item] ID=roof2_flat5; q=1; x=13; y=33;
[Item] ID=carpet2; q=7; r=180; x=13; y=33;
[Item] ID=carpet_edge1; q=4; r=360; x=13; y=33;
[Item] ID=roof2_flat8; q=2; x=13; y=34;
[Item] ID=carpet7; q=7; x=13; y=34;
[Item] ID=wall2_style7_roof_p; q=2; x=13; y=35;
[Item] ID=doorway_square_staticP_top; q=1; x=13; y=35;
[Item] ID=carpet2; q=7; x=13; y=35;
[Item] ID=carpet_edge1; q=4; r=180; x=13; y=35;
[Item] ID=wall5_style7_p; q=2; x=13; y=36;
[Item] ID=cantBlackenTile; q=1; x=13; y=36;
[Item] ID=doorway_square_staticP; q=1; x=13; y=36;
[Item] ID=dirt_sandy1; q=2; r=270; x=13; y=37;
[Item] ID=dirt_sandy2; q=3; r=180; x=13; y=37;
[Item] ID=wall2_style2; q=1; x=14; y=7;
[Item] ID=roof2_flat5; q=1; x=14; y=7;
[Item] ID=doorway_square_locked_staticP; q=1; x=14; y=7;
[Item] ID=roof2_flat5; q=1; x=14; y=8;
[Item] ID=roof2_flat5; q=1; x=14; y=9;
[Item] ID=carpet6; q=6; x=14; y=9;
[Item] ID=carpet_edge2; q=6; r=360; x=14; y=9;
[Item] ID=roof2_flat5; q=1; x=14; y=10;
[Item] ID=carpet6; q=6; x=14; y=10;
[Item] ID=carpet_edge2; q=6; r=180; x=14; y=10;
[Item] ID=roof2_flat5; q=1; x=14; y=11;
[Item] ID=roof2_flat5; q=1; x=14; y=12;
[Item] ID=sandbag_movable; q=1; x=14; y=12;
[Item] ID=item_cantGrabOrPlace; q=1; x=14; y=12;
[Item] ID=wall2_style2; q=1; x=14; y=13;
[Item] ID=roof2_flat5; q=1; x=14; y=13;
[Item] ID=roof2_flat5; q=1; x=14; y=14;
[Item] ID=roof2_flat5; q=1; x=14; y=15;
[Item] ID=table_left2; q=1; x=14; y=15;
[Item] ID=roof2_flat5; q=1; x=14; y=16;
[Item] ID=roof2_flat8; q=2; x=14; y=17;
[Item] ID=wall2_style2_roof; q=1; x=14; y=18;
[Item] ID=wall5_style2; q=1; x=14; y=19;
[Item] ID=cantBlackenTile; q=1; x=14; y=19;
[Item] ID=ice_rocks_wallbase; q=1; x=14; y=20;
[Item] ID=wall2_style7_p; q=2; x=14; y=28;
[Item] ID=roof2_flat2; q=2; x=14; y=28;
[Item] ID=mount_item; q=1; x=14; y=28;
[Item] ID=axe_steel; q=1; r=360; oX=4; oY=0; x=14; y=28; containerID=4;
[Item] ID=axe_steel; q=1; r=-360; oX=-4; oY=0; x=14; y=28; containerID=5;
[Item] ID=item_cantGrabOrPlace; q=1; x=14; y=28;
[Item] ID=roof2_flat5; q=1; x=14; y=29;
[Item] ID=roof2_flat5; q=1; x=14; y=30;
[Item] ID=roof2_flat5; q=1; x=14; y=31;
[Item] ID=roof2_flat5; q=1; x=14; y=32;
[Item] ID=mechanismPasser; q=1; bu=True; specialX=13; specialY=29; x=14; y=32;
[Item] ID=roof2_flat5; q=1; x=14; y=33;
[Item] ID=carpet7; q=7; x=14; y=33;
[Item] ID=carpet_corner1; q=4; r=90; x=14; y=33;
[Item] ID=roof2_flat8; q=2; x=14; y=34;
[Item] ID=carpet2; q=7; r=270; x=14; y=34;
[Item] ID=carpet_edge1; q=4; r=90; x=14; y=34;
[Item] ID=wall2_style7_roof_p; q=2; x=14; y=35;
[Item] ID=carpet7; q=7; x=14; y=35;
[Item] ID=carpet_corner1; q=4; r=180; x=14; y=35;
[Item] ID=wall5_style7_p; q=2; x=14; y=36;
[Item] ID=cantBlackenTile; q=1; x=14; y=36;
[Item] ID=pebbles1; q=1; x=14; y=41;
[Item] ID=wall2_style2; q=1; x=15; y=7;
[Item] ID=roof2_flat5; q=1; x=15; y=7;
[Item] ID=roof2_flat5; q=1; x=15; y=8;
[Item] ID=roof2_flat5; q=1; x=15; y=9;
[Item] ID=carpet6; q=6; x=15; y=9;
[Item] ID=carpet_corner2; q=6; r=90; x=15; y=9;
[Item] ID=roof2_flat5; q=1; x=15; y=10;
[Item] ID=carpet6; q=6; x=15; y=10;
[Item] ID=carpet_corner2; q=6; r=180; x=15; y=10;
[Item] ID=roof2_flat5; q=1; x=15; y=11;
[Item] ID=roof2_flat5; q=1; x=15; y=12;
[Item] ID=barrel_open_water; q=1; x=15; y=12;
[Item] ID=wall2_style2; q=1; x=15; y=13;
[Item] ID=roof2_flat5; q=1; x=15; y=13;
[Item] ID=roof2_flat5; q=1; x=15; y=14;
[Item] ID=stool2; q=1; x=15; y=14;
[Item] ID=item_cantGrabOrPlace; q=1; x=15; y=14;
[Item] ID=roof2_flat5; q=1; x=15; y=15;
[Item] ID=table_mid2; q=1; x=15; y=15;
[Item] ID=roof2_flat5; q=1; x=15; y=16;
[Item] ID=roof2_flat8; q=2; x=15; y=17;
[Item] ID=wall2_style2_roof; q=1; x=15; y=18;
[Item] ID=doorway_square_staticP_top; q=1; x=15; y=18;
[Item] ID=wall5_style2; q=1; x=15; y=19;
[Item] ID=doorway_square_staticP; q=1; x=15; y=19;
[Item] ID=cantBlackenTile; q=1; x=15; y=19;
[Item] ID=wall2_style7_p; q=2; x=15; y=28;
[Item] ID=roof2_flat2; q=2; x=15; y=28;
[Item] ID=roof2_flat5; q=1; x=15; y=29;
[Item] ID=roof1_ornament2; q=1; x=15; y=29;
[Item] ID=brazier; q=1; x=15; y=29;
[Item] ID=roof2_flat5; q=1; x=15; y=30;
[Item] ID=roof2_flat5; q=1; x=15; y=31;
[Item] ID=table_stone; q=1; x=15; y=31;
[Item] ID=item_cantGrabOrPlace; q=1; x=15; y=31;
[Item] ID=axe_ironice; q=1; r=360; x=15; y=31; containerID=6;
[Item] ID=roof2_flat5; q=1; x=15; y=32;
[Item] ID=roof2_flat5; q=1; x=15; y=33;
[Item] ID=roof1_ornament2; q=1; x=15; y=33;
[Item] ID=roof2_flat8; q=2; x=15; y=34;
[Item] ID=wall2_style7_roof_p; q=2; x=15; y=35;
[Item] ID=bin_clothes3; q=1; x=15; y=35;
[Item] ID=wall5_style7_p; q=2; x=15; y=36;
[Item] ID=cantBlackenTile; q=1; x=15; y=36;
[Item] ID=ice_rocks_wallbase; q=1; x=15; y=37;
[Item] ID=rubble; q=1; x=15; y=39;
[Item] ID=wall2_style2; q=1; x=16; y=7;
[Item] ID=roof2_flat5; q=1; x=16; y=7;
[Item] ID=roof2_flat5; q=1; x=16; y=8;
[Item] ID=roof2_flat5; q=1; x=16; y=9;
[Item] ID=roof2_flat5; q=1; x=16; y=10;
[Item] ID=roof2_flat5; q=1; x=16; y=11;
[Item] ID=roof2_flat5; q=1; x=16; y=12;
[Item] ID=wall2_style2; q=1; x=16; y=13;
[Item] ID=roof2_flat5; q=1; x=16; y=13;
[Item] ID=lamp_wall_off; q=1; x=16; y=13;
[Item] ID=roof2_flat5; q=1; x=16; y=14;
[Item] ID=roof2_flat5; q=1; x=16; y=15;
[Item] ID=table_right2; q=1; x=16; y=15;
[Item] ID=mug_beer; q=1; x=16; y=15;
[Item] ID=item_cantGrabOrPlace; q=1; x=16; y=15;
[Item] ID=roof2_flat5; q=1; x=16; y=16;
[Item] ID=roof2_flat8; q=2; x=16; y=17;
[Item] ID=wall2_style2_roof; q=1; x=16; y=18;
[Item] ID=wall5_style2; q=1; x=16; y=19;
[Item] ID=cantBlackenTile; q=1; x=16; y=19;
[Item] ID=ice_rocks_wallbase; q=1; x=16; y=20;
[Item] ID=wall3_style7_p; q=2; x=16; y=28;
[Item] ID=roof2_flat3; q=2; x=16; y=28;
[Item] ID=roof1_ornament2; q=2; x=16; y=28;
[Item] ID=wall6_style7_p; q=2; x=16; y=29;
[Item] ID=roof2_flat6; q=2; x=16; y=29;
[Item] ID=wall6_style7_p; q=2; x=16; y=30;
[Item] ID=roof2_flat6; q=2; x=16; y=30;
[Item] ID=wall6_style7_p; q=2; x=16; y=31;
[Item] ID=roof2_flat6; q=2; x=16; y=31;
[Item] ID=wall6_style7_p; q=2; x=16; y=32;
[Item] ID=roof2_flat6; q=2; x=16; y=32;
[Item] ID=wall6_style7_p; q=2; x=16; y=33;
[Item] ID=roof2_flat6; q=2; x=16; y=33;
[Item] ID=wall6_style7_p; q=2; x=16; y=34;
[Item] ID=roof2_flat9; q=2; x=16; y=34;
[Item] ID=roof1_ornament2; q=2; x=16; y=34;
[Item] ID=wall3_style7_p; q=2; x=16; y=35;
[Item] ID=cantBlackenTile; q=1; x=16; y=35;
[Item] ID=wall6_style7_p; q=2; x=16; y=36;
[Item] ID=cantBlackenTile; q=1; x=16; y=36;
[Item] ID=rubble; q=1; x=16; y=38;
[Item] ID=shoreEdge1; q=1; x=16; y=42;
[Item] ID=wall2_style2; q=1; x=17; y=7;
[Item] ID=roof2_flat5; q=1; x=17; y=7;
[Item] ID=doorway_square_locked_staticP; q=1; x=17; y=7;
[Item] ID=roof2_flat5; q=1; x=17; y=8;
[Item] ID=roof2_flat5; q=1; x=17; y=9;
[Item] ID=roof2_flat5; q=1; x=17; y=10;
[Item] ID=roof2_flat5; q=1; x=17; y=11;
[Item] ID=roof2_flat5; q=1; x=17; y=12;
[Item] ID=roof1_ornament2; q=1; x=17; y=12;
[Item] ID=wall2_style2; q=1; x=17; y=13;
[Item] ID=roof2_flat5; q=1; x=17; y=13;
[Item] ID=doorway_square_staticP; q=1; x=17; y=13;
[Item] ID=roof2_flat5; q=1; x=17; y=14;
[Item] ID=roof2_flat5; q=1; x=17; y=15;
[Item] ID=roof2_flat5; q=1; x=17; y=16;
[Item] ID=roof1_ornament2; q=1; x=17; y=16;
[Item] ID=roof2_flat8; q=2; x=17; y=17;
[Item] ID=wall2_style2_roof; q=1; x=17; y=18;
[Item] ID=wall5_style2; q=1; x=17; y=19;
[Item] ID=sign_wall2; q=1; x=17; y=19;
[Item] ID=sign_icon_letter; q=1; x=17; y=19;
[Item] ID=cantBlackenTile; q=1; x=17; y=19;
[Item] ID=ice_rocks; q=1; x=17; y=20;
[Item] ID=fade_f1; q=1; x=17; y=29;
[Item] ID=rubble; q=1; x=17; y=30;
[Item] ID=fade_f1; q=1; x=17; y=30;
[Item] ID=rubble; q=1; x=17; y=31;
[Item] ID=fade_f1; q=1; x=17; y=31;
[Item] ID=fade_f1; q=1; x=17; y=32;
[Item] ID=fade_f1; q=1; x=17; y=33;
[Item] ID=fade_f1; q=1; x=17; y=34;
[Item] ID=sign_hanging2; q=1; r=-360; x=17; y=35;
[Item] ID=fade_f1; q=1; x=17; y=35;
[Item] ID=sign_icon_muscle; q=1; x=17; y=35;
[Item] ID=fade_s_diag_half1; q=1; r=-180; x=17; y=36;
[Item] ID=fade_s_diag_half2; q=1; r=-180; x=17; y=36;
[Item] ID=ice_rocks; q=1; x=17; y=40;
