[Zone]  ID=zFleetBattle; dark=True; timeUntilNewDay=11.12958; showFogOfWar=False; fogOfWar=False; minimapEnabled=True; allowCameraPastZoneEdges=False; cantAct=False; cantGameOver=False; alwaysKeepWeaponsUnsheathed=False; peaceful=False; overseerMode=False; rollingPinStyle=False; drawSky=False; drawSky_overrideYpos=-1; boatZone=True; wind=True; overworld=False; canDropItems=True; 
 travelSong=; travelSongVolume=1; travelSongPitch=0; combatSong=PM-Seanchas; combatSongVolume=1; combatSongPitch=0; combatSongDelay=0; 
darkR=102; darkG=102; darkB=153; 
 screenWaveFreq=0; screenDarkWaveFreq=0; screenWaveAmp=0.01; screenDarkWaveAmp=0.01; screenWaveSpeed=0.2; screenWaveAmp_reflect=0.0014; 
 bgTerrainTypeID=; bgFXID=ocean; bgFX_sineWave=0; darkenedTileTexture=darkenedTile; bgScale=1; bgParallaxRatio=1; bgMoveSpeedX=0; bgMoveSpeedY=0; 
paletteOverride=; zoneDirtPalette=pR; zoneGrassPalette=pR; zoneGrassDarkPalette=pR; zoneStonePalette=pR; zoneStoneDarkPalette=pR; zoneStoneLightPalette=pR; zoneWaterPalette=pBlue2; zoneDirtDarkPalette=pR; zoneWoodPalette=pR; zoneWoodDarkPalette=pR; zoneMisc1Palette=pR; zoneMisc2Palette=pR; zoneMisc3Palette=pRed; zoneMisc4Palette=pBlue; zoneMisc5Palette=pGreen; zoneMisc6Palette=pOrange; zoneMisc7Palette=pYellow; zoneMisc8Palette=pPurple; 

combatMode=False; 

[Item] ID=blockedLoE; q=1; x=0; y=0;
[Item] ID=blockedLoE; q=1; x=1; y=15;
[Item] ID=blockedLoE; q=1; x=1; y=16;
[Item] ID=blockedLoE; q=1; x=1; y=17;
[Item] ID=blockedLoE; q=1; x=1; y=18;
[Item] ID=blockedLoE; q=1; x=1; y=19;
[Item] ID=blockedLoE; q=1; x=1; y=20;
[Item] ID=blockedLoE; q=1; x=1; y=21;
[Item] ID=blockedLoE; q=1; x=1; y=22;
[Item] ID=blockedLoE; q=1; x=1; y=23;
[Item] ID=blockedLoE; q=1; x=1; y=24;
[Item] ID=blockedLoE; q=1; x=1; y=25;
[Item] ID=blockedLoE; q=1; x=1; y=26;
[Item] ID=blockedLoE; q=1; x=1; y=27;
[Item] ID=blockedLoE; q=1; x=1; y=28;
[Item] ID=blockedLoE; q=1; x=1; y=29;
[Item] ID=blockedLoE; q=1; x=1; y=30;
[Item] ID=blockedLoE; q=1; x=1; y=31;
[Item] ID=blockedLoE; q=1; x=1; y=32;
[Item] ID=blockedLoE; q=1; x=1; y=33;
[Item] ID=blockedLoE; q=1; x=1; y=34;
[Item] ID=blockedLoE; q=1; x=1; y=35;
[Item] ID=blockedLoE; q=1; x=1; y=36;
[Item] ID=blockedLoE; q=1; x=1; y=37;
[Item] ID=blockedLoE; q=1; x=1; y=38;
[Item] ID=blockedLoE; q=1; x=1; y=39;
[Item] ID=blockedLoE; q=1; x=1; y=40;
[Item] ID=blockedLoE; q=1; x=1; y=41;
[Item] ID=blockedLoE; q=1; x=1; y=42;
[Item] ID=blockedLoE; q=1; x=1; y=43;
[Item] ID=blockedLoE; q=1; x=1; y=44;
[Item] ID=blockedLoE; q=1; x=1; y=45;
[Item] ID=blockedLoE; q=1; x=1; y=46;
[Item] ID=blockedLoE; q=1; x=1; y=47;
[Item] ID=blockedLoE; q=1; x=1; y=48;
[Item] ID=blockedLoE; q=1; x=1; y=49;
[Item] ID=blockedLoE; q=1; x=1; y=50;
[Item] ID=blockedLoE; q=1; x=1; y=51;
[Item] ID=blockedLoE; q=1; x=1; y=52;
[Item] ID=blockedLoE; q=1; x=2; y=0;
[Item] ID=blockedLoE; q=1; x=2; y=1;
[Item] ID=blockedLoE; q=1; x=2; y=2;
[Item] ID=blockedLoE; q=1; x=2; y=3;
[Item] ID=blockedLoE; q=1; x=2; y=48;
[Item] ID=blockedLoE; q=1; x=2; y=49;
[Item] ID=blockedLoE; q=1; x=2; y=50;
[Item] ID=blockedLoE; q=1; x=2; y=51;
[Item] ID=blockedLoE; q=1; x=2; y=52;
[Item] ID=blockedLoE; q=1; x=3; y=0;
[Item] ID=blockedLoE; q=1; x=3; y=1;
[Item] ID=blockedLoE; q=1; x=3; y=2;
[Item] ID=blockedLoE; q=1; x=3; y=3;
[Item] ID=blockedLoE; q=1; x=3; y=48;
[Item] ID=blockedLoE; q=1; x=3; y=49;
[Item] ID=blockedLoE; q=1; x=3; y=50;
[Item] ID=blockedLoE; q=1; x=3; y=51;
[Item] ID=blockedLoE; q=1; x=3; y=52;
[Item] ID=blockedLoE; q=1; x=4; y=0;
[Item] ID=blockedLoE; q=1; x=4; y=1;
[Item] ID=blockedLoE; q=1; x=4; y=2;
[Item] ID=blockedLoE; q=1; x=4; y=3;
[Item] ID=blockedLoE; q=1; x=4; y=48;
[Item] ID=blockedLoE; q=1; x=4; y=49;
[Item] ID=blockedLoE; q=1; x=4; y=50;
[Item] ID=blockedLoE; q=1; x=4; y=51;
[Item] ID=blockedLoE; q=1; x=4; y=52;
[Item] ID=blockedLoE; q=1; x=5; y=0;
[Item] ID=blockedLoE; q=1; x=5; y=1;
[Item] ID=blockedLoE; q=1; x=5; y=2;
[Item] ID=blockedLoE; q=1; x=5; y=3;
[Item] ID=blockedLoE; q=1; x=5; y=48;
[Item] ID=blockedLoE; q=1; x=5; y=49;
[Item] ID=blockedLoE; q=1; x=5; y=50;
[Item] ID=blockedLoE; q=1; x=5; y=51;
[Item] ID=blockedLoE; q=1; x=5; y=52;
[Item] ID=blockedLoE; q=1; x=6; y=0;
[Item] ID=blockedLoE; q=1; x=6; y=1;
[Item] ID=blockedLoE; q=1; x=6; y=2;
[Item] ID=blockedLoE; q=1; x=6; y=3;
[Item] ID=blockedLoE; q=1; x=6; y=48;
[Item] ID=blockedLoE; q=1; x=6; y=49;
[Item] ID=blockedLoE; q=1; x=6; y=50;
[Item] ID=blockedLoE; q=1; x=6; y=51;
[Item] ID=blockedLoE; q=1; x=6; y=52;
[Item] ID=blockedLoE; q=1; x=7; y=0;
[Item] ID=blockedLoE; q=1; x=7; y=1;
[Item] ID=blockedLoE; q=1; x=7; y=2;
[Item] ID=blockedLoE; q=1; x=7; y=3;
[Item] ID=blockedLoE; q=1; x=7; y=48;
[Item] ID=blockedLoE; q=1; x=7; y=49;
[Item] ID=blockedLoE; q=1; x=7; y=50;
[Item] ID=blockedLoE; q=1; x=7; y=51;
[Item] ID=blockedLoE; q=1; x=7; y=52;
[Item] ID=blockedLoE; q=1; x=8; y=0;
[Item] ID=blockedLoE; q=1; x=8; y=1;
[Item] ID=blockedLoE; q=1; x=8; y=2;
[Item] ID=blockedLoE; q=1; x=8; y=3;
[Item] ID=blockedLoE; q=1; x=8; y=48;
[Item] ID=blockedLoE; q=1; x=8; y=49;
[Item] ID=blockedLoE; q=1; x=8; y=50;
[Item] ID=blockedLoE; q=1; x=8; y=51;
[Item] ID=blockedLoE; q=1; x=8; y=52;
[Item] ID=blockedLoE; q=1; x=9; y=0;
[Item] ID=blockedLoE; q=1; x=9; y=1;
[Item] ID=blockedLoE; q=1; x=9; y=2;
[Item] ID=blockedLoE; q=1; x=9; y=3;
[Item] ID=blockedLoE; q=1; x=9; y=48;
[Item] ID=blockedLoE; q=1; x=9; y=49;
[Item] ID=blockedLoE; q=1; x=9; y=50;
[Item] ID=blockedLoE; q=1; x=9; y=51;
[Item] ID=blockedLoE; q=1; x=9; y=52;
[Item] ID=blockedLoE; q=1; x=10; y=0;
[Item] ID=blockedLoE; q=1; x=10; y=1;
[Item] ID=blockedLoE; q=1; x=10; y=2;
[Item] ID=blockedLoE; q=1; x=10; y=3;
[Item] ID=sunbeam_circle_huge_darker; q=1; x=10; y=12;
[Item] ID=sunbeam_circle_huge_darker; q=1; x=10; y=22;
[Item] ID=sunbeam_circle_huge_darker; q=1; x=10; y=32;
[Item] ID=sunbeam_circle_huge_darker; q=1; x=10; y=40;
[Item] ID=underwater_object1; q=1; x=10; y=41;
[Item] ID=blockedLoE; q=1; x=10; y=48;
[Item] ID=blockedLoE; q=1; x=10; y=49;
[Item] ID=blockedLoE; q=1; x=10; y=50;
[Item] ID=blockedLoE; q=1; x=10; y=51;
[Item] ID=blockedLoE; q=1; x=10; y=52;
[Item] ID=blockedLoE; q=1; x=11; y=0;
[Item] ID=blockedLoE; q=1; x=11; y=1;
[Item] ID=blockedLoE; q=1; x=11; y=2;
[Item] ID=blockedLoE; q=1; x=11; y=3;
[Item] ID=sea_flower2; q=1; x=11; y=22;
[Item] ID=blockedLoE; q=1; x=11; y=48;
[Item] ID=blockedLoE; q=1; x=11; y=49;
[Item] ID=blockedLoE; q=1; x=11; y=50;
[Item] ID=blockedLoE; q=1; x=11; y=51;
[Item] ID=blockedLoE; q=1; x=11; y=52;
[Item] ID=blockedLoE; q=1; x=12; y=0;
[Item] ID=sunbeam_circle_huge_dull; q=1; x=12; y=0;
[Item] ID=blockedLoE; q=1; x=12; y=1;
[Item] ID=blockedLoE; q=1; x=12; y=2;
[Item] ID=blockedLoE; q=1; x=12; y=3;
[Item] ID=blockedLoE; q=1; x=12; y=48;
[Item] ID=blockedLoE; q=1; x=12; y=49;
[Item] ID=blockedLoE; q=1; x=12; y=50;
[Item] ID=blockedLoE; q=1; x=12; y=51;
[Item] ID=blockedLoE; q=1; x=12; y=52;
[Item] ID=blockedLoE; q=1; x=13; y=0;
[Item] ID=blockedLoE; q=1; x=13; y=1;
[Item] ID=blockedLoE; q=1; x=13; y=2;
[Item] ID=blockedLoE; q=1; x=13; y=3;
[Item] ID=sea_flower2; q=1; x=13; y=28;
[Item] ID=blockedLoE; q=1; x=13; y=48;
[Item] ID=blockedLoE; q=1; x=13; y=49;
[Item] ID=blockedLoE; q=1; x=13; y=50;
[Item] ID=blockedLoE; q=1; x=13; y=51;
[Item] ID=blockedLoE; q=1; x=13; y=52;
[Item] ID=blockedLoE; q=1; x=14; y=0;
[Item] ID=blockedLoE; q=1; x=14; y=1;
[Item] ID=blockedLoE; q=1; x=14; y=2;
[Item] ID=blockedLoE; q=1; x=14; y=3;
[Item] ID=blockedLoE; q=1; x=14; y=48;
[Item] ID=blockedLoE; q=1; x=14; y=49;
[Item] ID=blockedLoE; q=1; x=14; y=50;
[Item] ID=blockedLoE; q=1; x=14; y=51;
[Item] ID=blockedLoE; q=1; x=14; y=52;
[Item] ID=blockedLoE; q=1; x=15; y=0;
[Item] ID=blockedLoE; q=1; x=15; y=1;
[Item] ID=blockedLoE; q=1; x=15; y=2;
[Item] ID=blockedLoE; q=1; x=15; y=3;
[Item] ID=underwater_object11; q=1; x=15; y=27;
[Item] ID=blockedLoE; q=1; x=15; y=48;
[Item] ID=blockedLoE; q=1; x=15; y=49;
[Item] ID=blockedLoE; q=1; x=15; y=50;
[Item] ID=blockedLoE; q=1; x=15; y=51;
[Item] ID=blockedLoE; q=1; x=15; y=52;
[Item] ID=blockedLoE; q=1; x=16; y=0;
[Item] ID=blockedLoE; q=1; x=16; y=1;
[Item] ID=blockedLoE; q=1; x=16; y=2;
[Item] ID=blockedLoE; q=1; x=16; y=3;
[Item] ID=underwater_object12; q=1; x=16; y=37;
[Item] ID=blockedLoE; q=1; x=16; y=48;
[Item] ID=blockedLoE; q=1; x=16; y=49;
[Item] ID=blockedLoE; q=1; x=16; y=50;
[Item] ID=blockedLoE; q=1; x=16; y=51;
[Item] ID=blockedLoE; q=1; x=16; y=52;
[Item] ID=blockedLoE; q=1; x=17; y=0;
[Item] ID=blockedLoE; q=1; x=17; y=1;
[Item] ID=blockedLoE; q=1; x=17; y=2;
[Item] ID=blockedLoE; q=1; x=17; y=3;
[Item] ID=blockedLoE; q=1; x=17; y=48;
[Item] ID=blockedLoE; q=1; x=17; y=49;
[Item] ID=blockedLoE; q=1; x=17; y=50;
[Item] ID=blockedLoE; q=1; x=17; y=51;
[Item] ID=blockedLoE; q=1; x=17; y=52;
[Item] ID=blockedLoE; q=1; x=18; y=0;
[Item] ID=blockedLoE; q=1; x=18; y=1;
[Item] ID=blockedLoE; q=1; x=18; y=2;
[Item] ID=blockedLoE; q=1; x=18; y=3;
[Item] ID=blockedLoE; q=1; x=18; y=48;
[Item] ID=blockedLoE; q=1; x=18; y=49;
[Item] ID=blockedLoE; q=1; x=18; y=50;
[Item] ID=blockedLoE; q=1; x=18; y=51;
[Item] ID=blockedLoE; q=1; x=18; y=52;
[Item] ID=blockedLoE; q=1; x=19; y=0;
[Item] ID=blockedLoE; q=1; x=19; y=1;
[Item] ID=blockedLoE; q=1; x=19; y=2;
[Item] ID=blockedLoE; q=1; x=19; y=3;
[Item] ID=sea_flower1; q=1; x=19; y=21;
[Item] ID=blockedLoE; q=1; x=19; y=48;
[Item] ID=blockedLoE; q=1; x=19; y=49;
[Item] ID=blockedLoE; q=1; x=19; y=50;
[Item] ID=blockedLoE; q=1; x=19; y=51;
[Item] ID=blockedLoE; q=1; x=19; y=52;
[Item] ID=blockedLoE; q=1; x=20; y=0;
[Item] ID=sunbeam_circle_huge_dull; q=1; x=20; y=0;
[Item] ID=blockedLoE; q=1; x=20; y=1;
[Item] ID=blockedLoE; q=1; x=20; y=2;
[Item] ID=blockedLoE; q=1; x=20; y=3;
[Item] ID=blockedLoE; q=1; x=20; y=48;
[Item] ID=blockedLoE; q=1; x=20; y=49;
[Item] ID=blockedLoE; q=1; x=20; y=50;
[Item] ID=blockedLoE; q=1; x=20; y=51;
[Item] ID=blockedLoE; q=1; x=20; y=52;
[Item] ID=blockedLoE; q=1; x=21; y=0;
[Item] ID=blockedLoE; q=1; x=21; y=1;
[Item] ID=blockedLoE; q=1; x=21; y=2;
[Item] ID=blockedLoE; q=1; x=21; y=3;
[Item] ID=blockedLoE; q=1; x=21; y=48;
[Item] ID=blockedLoE; q=1; x=21; y=49;
[Item] ID=blockedLoE; q=1; x=21; y=50;
[Item] ID=blockedLoE; q=1; x=21; y=51;
[Item] ID=blockedLoE; q=1; x=21; y=52;
[Item] ID=blockedLoE; q=1; x=22; y=0;
[Item] ID=blockedLoE; q=1; x=22; y=1;
[Item] ID=blockedLoE; q=1; x=22; y=2;
[Item] ID=blockedLoE; q=1; x=22; y=3;
[Item] ID=blockedLoE; q=1; x=22; y=48;
[Item] ID=blockedLoE; q=1; x=22; y=49;
[Item] ID=blockedLoE; q=1; x=22; y=50;
[Item] ID=blockedLoE; q=1; x=22; y=51;
[Item] ID=blockedLoE; q=1; x=22; y=52;
[Item] ID=blockedLoE; q=1; x=23; y=0;
[Item] ID=blockedLoE; q=1; x=23; y=1;
[Item] ID=blockedLoE; q=1; x=23; y=2;
[Item] ID=blockedLoE; q=1; x=23; y=3;
[Item] ID=blockedLoE; q=1; x=23; y=48;
[Item] ID=blockedLoE; q=1; x=23; y=49;
[Item] ID=blockedLoE; q=1; x=23; y=50;
[Item] ID=blockedLoE; q=1; x=23; y=51;
[Item] ID=blockedLoE; q=1; x=23; y=52;
[Item] ID=blockedLoE; q=1; x=24; y=0;
[Item] ID=blockedLoE; q=1; x=24; y=1;
[Item] ID=blockedLoE; q=1; x=24; y=2;
[Item] ID=blockedLoE; q=1; x=24; y=3;
[Item] ID=sunbeam_circle_huge_darker; q=1; x=24; y=22;
[Item] ID=travelPoint_0; q=1; r=270; x=24; y=26;
[Item] ID=sunbeam_circle_huge_darker; q=1; x=24; y=32;
[Item] ID=sunbeam_circle_huge_darker; q=1; x=24; y=40;
[Item] ID=blockedLoE; q=1; x=24; y=48;
[Item] ID=blockedLoE; q=1; x=24; y=49;
[Item] ID=blockedLoE; q=1; x=24; y=50;
[Item] ID=blockedLoE; q=1; x=24; y=51;
[Item] ID=blockedLoE; q=1; x=24; y=52;
[Item] ID=blockedLoE; q=1; x=25; y=0;
[Item] ID=blockedLoE; q=1; x=25; y=1;
[Item] ID=blockedLoE; q=1; x=25; y=2;
[Item] ID=blockedLoE; q=1; x=25; y=3;
[Item] ID=sunbeam_circle_huge_darker; q=1; x=25; y=12;
[Item] ID=blockedLoE; q=1; x=25; y=48;
[Item] ID=blockedLoE; q=1; x=25; y=49;
[Item] ID=blockedLoE; q=1; x=25; y=50;
[Item] ID=blockedLoE; q=1; x=25; y=51;
[Item] ID=blockedLoE; q=1; x=25; y=52;
[Item] ID=blockedLoE; q=1; x=26; y=0;
[Item] ID=blockedLoE; q=1; x=26; y=1;
[Item] ID=blockedLoE; q=1; x=26; y=2;
[Item] ID=blockedLoE; q=1; x=26; y=3;
[Item] ID=blockedLoE; q=1; x=26; y=48;
[Item] ID=blockedLoE; q=1; x=26; y=49;
[Item] ID=blockedLoE; q=1; x=26; y=50;
[Item] ID=blockedLoE; q=1; x=26; y=51;
[Item] ID=blockedLoE; q=1; x=26; y=52;
[Item] ID=blockedLoE; q=1; x=27; y=0;
[Item] ID=blockedLoE; q=1; x=27; y=1;
[Item] ID=blockedLoE; q=1; x=27; y=2;
[Item] ID=blockedLoE; q=1; x=27; y=3;
[Item] ID=sea_flower1; q=1; x=27; y=37;
[Item] ID=blockedLoE; q=1; x=27; y=48;
[Item] ID=blockedLoE; q=1; x=27; y=49;
[Item] ID=blockedLoE; q=1; x=27; y=50;
[Item] ID=blockedLoE; q=1; x=27; y=51;
[Item] ID=blockedLoE; q=1; x=27; y=52;
[Item] ID=blockedLoE; q=1; x=28; y=0;
[Item] ID=blockedLoE; q=1; x=28; y=1;
[Item] ID=blockedLoE; q=1; x=28; y=2;
[Item] ID=blockedLoE; q=1; x=28; y=3;
[Item] ID=blockedLoE; q=1; x=28; y=48;
[Item] ID=blockedLoE; q=1; x=28; y=49;
[Item] ID=blockedLoE; q=1; x=28; y=50;
[Item] ID=blockedLoE; q=1; x=28; y=51;
[Item] ID=blockedLoE; q=1; x=28; y=52;
[Item] ID=blockedLoE; q=1; x=29; y=0;
[Item] ID=blockedLoE; q=1; x=29; y=1;
[Item] ID=blockedLoE; q=1; x=29; y=2;
[Item] ID=blockedLoE; q=1; x=29; y=3;
[Item] ID=blockedLoE; q=1; x=29; y=48;
[Item] ID=blockedLoE; q=1; x=29; y=49;
[Item] ID=blockedLoE; q=1; x=29; y=50;
[Item] ID=blockedLoE; q=1; x=29; y=51;
[Item] ID=blockedLoE; q=1; x=29; y=52;
[Item] ID=blockedLoE; q=1; x=30; y=0;
[Item] ID=sunbeam_circle_huge_dull; q=1; x=30; y=0;
[Item] ID=blockedLoE; q=1; x=30; y=1;
[Item] ID=blockedLoE; q=1; x=30; y=2;
[Item] ID=blockedLoE; q=1; x=30; y=3;
[Item] ID=underwater_object2; q=1; x=30; y=7;
[Item] ID=blockedLoE; q=1; x=30; y=48;
[Item] ID=blockedLoE; q=1; x=30; y=49;
[Item] ID=blockedLoE; q=1; x=30; y=50;
[Item] ID=blockedLoE; q=1; x=30; y=51;
[Item] ID=blockedLoE; q=1; x=30; y=52;
[Item] ID=blockedLoE; q=1; x=31; y=0;
[Item] ID=blockedLoE; q=1; x=31; y=1;
[Item] ID=blockedLoE; q=1; x=31; y=2;
[Item] ID=blockedLoE; q=1; x=31; y=3;
[Item] ID=blockedLoE; q=1; x=31; y=48;
[Item] ID=blockedLoE; q=1; x=31; y=49;
[Item] ID=blockedLoE; q=1; x=31; y=50;
[Item] ID=blockedLoE; q=1; x=31; y=51;
[Item] ID=blockedLoE; q=1; x=31; y=52;
[Item] ID=blockedLoE; q=1; x=32; y=0;
[Item] ID=blockedLoE; q=1; x=32; y=1;
[Item] ID=blockedLoE; q=1; x=32; y=2;
[Item] ID=blockedLoE; q=1; x=32; y=3;
[Item] ID=blockedLoE; q=1; x=32; y=48;
[Item] ID=blockedLoE; q=1; x=32; y=49;
[Item] ID=blockedLoE; q=1; x=32; y=50;
[Item] ID=blockedLoE; q=1; x=32; y=51;
[Item] ID=blockedLoE; q=1; x=32; y=52;
[Item] ID=blockedLoE; q=1; x=33; y=0;
[Item] ID=blockedLoE; q=1; x=33; y=1;
[Item] ID=blockedLoE; q=1; x=33; y=2;
[Item] ID=blockedLoE; q=1; x=33; y=3;
[Item] ID=underwater_object6; q=1; x=33; y=34;
[Item] ID=blockedLoE; q=1; x=33; y=48;
[Item] ID=blockedLoE; q=1; x=33; y=49;
[Item] ID=blockedLoE; q=1; x=33; y=50;
[Item] ID=blockedLoE; q=1; x=33; y=51;
[Item] ID=blockedLoE; q=1; x=33; y=52;
[Item] ID=blockedLoE; q=1; x=34; y=0;
[Item] ID=blockedLoE; q=1; x=34; y=1;
[Item] ID=blockedLoE; q=1; x=34; y=2;
[Item] ID=blockedLoE; q=1; x=34; y=3;
[Item] ID=blockedLoE; q=1; x=34; y=48;
[Item] ID=blockedLoE; q=1; x=34; y=49;
[Item] ID=blockedLoE; q=1; x=34; y=50;
[Item] ID=blockedLoE; q=1; x=34; y=51;
[Item] ID=blockedLoE; q=1; x=34; y=52;
[Item] ID=blockedLoE; q=1; x=35; y=0;
[Item] ID=blockedLoE; q=1; x=35; y=1;
[Item] ID=blockedLoE; q=1; x=35; y=2;
[Item] ID=blockedLoE; q=1; x=35; y=3;
[Item] ID=blockedLoE; q=1; x=35; y=48;
[Item] ID=blockedLoE; q=1; x=35; y=49;
[Item] ID=blockedLoE; q=1; x=35; y=50;
[Item] ID=blockedLoE; q=1; x=35; y=51;
[Item] ID=blockedLoE; q=1; x=35; y=52;
[Item] ID=blockedLoE; q=1; x=36; y=0;
[Item] ID=blockedLoE; q=1; x=36; y=1;
[Item] ID=blockedLoE; q=1; x=36; y=2;
[Item] ID=blockedLoE; q=1; x=36; y=3;
[Item] ID=sea_flower3; q=1; x=36; y=22;
[Item] ID=blockedLoE; q=1; x=36; y=48;
[Item] ID=blockedLoE; q=1; x=36; y=49;
[Item] ID=blockedLoE; q=1; x=36; y=50;
[Item] ID=blockedLoE; q=1; x=36; y=51;
[Item] ID=blockedLoE; q=1; x=36; y=52;
[Item] ID=blockedLoE; q=1; x=37; y=0;
[Item] ID=blockedLoE; q=1; x=37; y=1;
[Item] ID=blockedLoE; q=1; x=37; y=2;
[Item] ID=blockedLoE; q=1; x=37; y=3;
[Item] ID=blockedLoE; q=1; x=37; y=48;
[Item] ID=blockedLoE; q=1; x=37; y=49;
[Item] ID=blockedLoE; q=1; x=37; y=50;
[Item] ID=blockedLoE; q=1; x=37; y=51;
[Item] ID=blockedLoE; q=1; x=37; y=52;
[Item] ID=blockedLoE; q=1; x=38; y=0;
[Item] ID=sunbeam_circle_huge_dull; q=1; x=38; y=0;
[Item] ID=blockedLoE; q=1; x=38; y=1;
