[Zone]  ID=zSnow1a; dark=True; timeUntilNewDay=24; showFogOfWar=True; fogOfWar=True; minimapEnabled=True; allowCameraPastZoneEdges=False; cantAct=False; cantGameOver=False; alwaysKeepWeaponsUnsheathed=False; peaceful=False; overseerMode=False; rollingPinStyle=False; drawSky=False; drawSky_overrideYpos=-1; boatZone=False; wind=True; overworld=False; canDropItems=True; 
 travelSong=CC0-DeepNoise; travelSongVolume=1; travelSongPitch=0.5; song2=; song2Volume=1; song2Pitch=0; combatSong=CC0-DeepNoise; combatSongVolume=1; combatSongPitch=0; combatSongDelay=0; 
darkR=102; darkG=102; darkB=153; 
 screenWaveFreq=0; screenDarkWaveFreq=0; screenWaveAmp=0.01; screenDarkWaveAmp=0.01; screenWaveSpeed=0.2; screenWaveAmp_reflect=0.0014; 
 bgTerrainTypeID=; bgFXID=ocean; bgFX_sineWave=12; darkenedTileTexture=darkenedTile; bgScale=1; bgParallaxRatio=1; bgMoveSpeedX=0; bgMoveSpeedY=0; 
paletteOverride=; zoneDirtPalette=p61; zoneGrassPalette=p26; zoneGrassDarkPalette=p13; zoneStonePalette=pGreyD; zoneStoneDarkPalette=pGreyD2; zoneStoneLightPalette=pGreyD; zoneWaterPalette=pBlue; zoneDirtDarkPalette=p26; zoneWoodPalette=pWood; zoneWoodDarkPalette=pWoodDark; zoneMisc1Palette=p9; zoneMisc2Palette=p12; zoneMisc3Palette=pRed; zoneMisc4Palette=pBlue; zoneMisc5Palette=pGreen; zoneMisc6Palette=pOrange; zoneMisc7Palette=pYellow; zoneMisc8Palette=pPurple; 

combatMode=False; zoneFX=w_snowstormOccasional;zoneFXTime=16;zoneFX_x=-1;zoneFX_y=-1;

[Item] ID=xpGem; q=1; bu=True; x=0; y=0;
[Item] ID=cliffEdge1_S; q=1; x=0; y=2;
[Item] ID=cliffEdge1_E; q=1; x=0; y=34;
[Item] ID=cliffEdge1_E; q=1; x=0; y=35;
[Item] ID=cliffEdge1_E; q=1; x=0; y=36;
[Item] ID=cliffEdge1_E; q=1; x=0; y=37;
[Item] ID=cliffEdge1_E; q=1; x=0; y=38;
[Item] ID=cliffEdge1_E; q=1; x=0; y=39;
[Item] ID=cliffEdge1_E; q=1; x=0; y=40;
[Item] ID=cliffEdge1_E; q=1; x=0; y=41;
[Item] ID=cliffEdge1_E; q=1; x=0; y=42;
[Item] ID=cliffEdge1_E; q=1; x=0; y=43;
[Item] ID=cliffEdge1_E; q=1; x=0; y=44;
[Item] ID=cliffEdge1_E; q=1; x=0; y=45;
[Item] ID=cliffEdge1_E; q=1; x=0; y=46;
[Item] ID=cliffEdge1_E; q=1; x=0; y=47;
[Item] ID=cliffEdge1_E; q=1; x=0; y=48;
[Item] ID=cliffEdge1_E; q=1; x=0; y=49;
[Item] ID=cliffEdge1_E; q=1; x=0; y=50;
[Item] ID=cliffEdge1_E; q=1; x=0; y=51;
[Item] ID=cliffEdge1_E; q=1; x=0; y=52;
[Item] ID=cliffEdge1_E; q=1; x=0; y=53;
[Item] ID=cliffEdge1_E; q=1; x=0; y=54;
[Item] ID=cliffEdge1_E; q=1; x=0; y=55;
[Item] ID=cliffEdge1_E; q=1; x=0; y=56;
[Item] ID=cliffEdge1_E; q=1; x=0; y=57;
[Item] ID=cliffEdge1_E; q=1; x=0; y=58;
[Item] ID=cliffEdge1_E; q=1; x=0; y=59;
[Item] ID=cliffEdge1_E; q=1; x=0; y=60;
[Item] ID=cliffEdge1_E; q=1; x=0; y=61;
[Item] ID=cliffEdge1_E; q=1; x=0; y=62;
[Item] ID=cliffEdge1_E; q=1; x=0; y=63;
[Item] ID=cliffEdge1_E; q=1; x=0; y=64;
[Item] ID=cliffEdge1_E; q=1; x=0; y=65;
[Item] ID=cliffEdge1_E; q=1; x=0; y=66;
[Item] ID=cliffEdge1_E; q=1; x=0; y=67;
[Item] ID=cliffEdge1_E; q=1; x=0; y=68;
[Item] ID=cliffEdge1_E; q=1; x=0; y=69;
[Item] ID=cliffEdge1_E; q=1; x=0; y=70;
[Item] ID=cliffEdge1_E; q=1; x=0; y=71;
[Item] ID=cliffEdge1_E; q=1; x=0; y=72;
[Item] ID=cliffEdge1_E; q=1; x=0; y=73;
[Item] ID=cliffEdge1_E; q=1; x=0; y=74;
[Item] ID=cliffEdge1_E; q=1; x=0; y=75;
[Item] ID=cliffEdge1_E; q=1; x=0; y=76;
[Item] ID=cliffEdge1_E; q=1; x=0; y=77;
[Item] ID=cliffEdge1_E; q=1; x=0; y=78;
[Item] ID=cliffEdge1_E; q=1; x=0; y=79;
[Item] ID=cliffEdge1_E; q=1; x=0; y=80;
[Item] ID=cliffEdge1_E; q=1; x=0; y=81;
[Item] ID=cliffEdge1_E; q=1; x=0; y=82;
[Item] ID=cliffEdge1_E; q=1; x=0; y=83;
[Item] ID=cliffEdge1_E; q=1; x=0; y=84;
[Item] ID=cliffEdge1_E; q=1; x=0; y=85;
[Item] ID=cliffEdge1_E; q=1; x=0; y=86;
[Item] ID=cliffEdge1_E; q=1; x=0; y=87;
[Item] ID=cliffEdge1_E; q=1; x=0; y=88;
[Item] ID=cliffEdge1_E; q=1; x=0; y=89;
[Item] ID=cliffEdge1_E; q=1; x=0; y=90;
[Item] ID=cliffEdge1_E; q=1; x=0; y=91;
[Item] ID=cliffEdge1_SW; q=1; r=-360; x=0; y=92;
[Item] ID=cliffEdge1_corner; q=1; r=-360; x=0; y=93;
[Item] ID=cliffEdge1_E; q=1; x=0; y=94;
[Item] ID=cliffEdge1_SW; q=1; r=-360; x=0; y=95;
[Item] ID=cliffEdge1_S; q=1; x=0; y=96;
[Item] ID=cliffEdge1_S; q=1; x=0; y=98;
[Item] ID=cliffEdge1_S; q=1; x=0; y=99;
[Item] ID=cliffEdge1_S; q=1; x=0; y=100;
[Item] ID=cliffEdge1_S; q=1; x=0; y=101;
[Item] ID=rubble; q=1; x=1; y=0;
[Item] ID=cliffEdge1_S; q=1; x=1; y=2;
[Item] ID=cliffEdge1_corner; q=1; r=-360; x=1; y=3;
[Item] ID=cliffEdge1_SW; q=1; r=-360; x=1; y=4;
[Item] ID=cliffEdge1_corner; q=1; r=-360; x=1; y=5;
[Item] ID=cliffEdge1_E; q=1; x=1; y=6;
[Item] ID=cliffEdge1_E; q=1; x=1; y=7;
[Item] ID=cliffEdge1_E; q=1; x=1; y=8;
[Item] ID=cliffEdge1_E; q=1; x=1; y=9;
[Item] ID=cliffEdge1_E; q=1; x=1; y=10;
[Item] ID=cliffEdge1_E; q=1; x=1; y=11;
[Item] ID=cliffEdge1_E; q=1; x=1; y=12;
[Item] ID=cliffEdge1_E; q=1; x=1; y=13;
[Item] ID=cliffEdge1_E; q=1; x=1; y=14;
[Item] ID=cliffEdge1_E; q=1; x=1; y=15;
[Item] ID=cliffEdge1_E; q=1; x=1; y=16;
[Item] ID=cliffEdge1_E; q=1; x=1; y=17;
[Item] ID=cliffEdge1_E; q=1; x=1; y=18;
[Item] ID=cliffEdge1_E; q=1; x=1; y=19;
[Item] ID=cliffEdge1_E; q=1; x=1; y=20;
[Item] ID=cliffEdge1_E; q=1; x=1; y=21;
[Item] ID=cliffEdge1_E; q=1; x=1; y=22;
[Item] ID=cliffEdge1_E; q=1; x=1; y=23;
[Item] ID=cliffEdge1_E; q=1; x=1; y=24;
[Item] ID=cliffEdge1_E; q=1; x=1; y=25;
[Item] ID=cliffEdge1_E; q=1; x=1; y=26;
[Item] ID=cliffEdge1_E; q=1; x=1; y=27;
[Item] ID=cliffEdge1_E; q=1; x=1; y=28;
[Item] ID=cliffEdge1_E; q=1; x=1; y=29;
[Item] ID=cliffEdge1_E; q=1; x=1; y=30;
[Item] ID=cliffEdge1_E; q=1; x=1; y=31;
[Item] ID=cliffEdge1_E; q=1; x=1; y=32;
[Item] ID=cliffEdge1_E; q=1; x=1; y=33;
[Item] ID=cliffEdge1_E; q=1; x=1; y=34;
[Item] ID=cliffEdge1_E; q=1; x=1; y=35;
[Item] ID=cliffEdge1_E; q=1; x=1; y=36;
[Item] ID=cliffEdge1_E; q=1; x=1; y=37;
[Item] ID=cliffEdge1_E; q=1; x=1; y=38;
[Item] ID=cliffEdge1_E; q=1; x=1; y=39;
[Item] ID=cliffEdge1_E; q=1; x=1; y=40;
[Item] ID=cliffEdge1_E; q=1; x=1; y=41;
[Item] ID=cliffEdge1_E; q=1; x=1; y=42;
[Item] ID=cliffEdge1_E; q=1; x=1; y=43;
[Item] ID=cliffEdge1_E; q=1; x=1; y=44;
[Item] ID=cliffEdge1_E; q=1; x=1; y=45;
[Item] ID=cliffEdge1_E; q=1; x=1; y=46;
[Item] ID=cliffEdge1_E; q=1; x=1; y=47;
[Item] ID=cliffEdge1_E; q=1; x=1; y=48;
[Item] ID=cliffEdge1_E; q=1; x=1; y=49;
[Item] ID=cliffEdge1_E; q=1; x=1; y=50;
[Item] ID=cliffEdge1_E; q=1; x=1; y=51;
[Item] ID=cliffEdge1_E; q=1; x=1; y=52;
[Item] ID=cliffEdge1_corner2; q=1; r=-360; x=1; y=53;
[Item] ID=cliffEdge1_corner; q=1; r=-360; x=1; y=59;
[Item] ID=cliffEdge1_E; q=1; x=1; y=60;
[Item] ID=cliffEdge1_E; q=1; x=1; y=61;
[Item] ID=cliffEdge1_E; q=1; x=1; y=62;
[Item] ID=cliffEdge1_E; q=1; x=1; y=63;
[Item] ID=cliffEdge1_E; q=1; x=1; y=64;
[Item] ID=cliffEdge1_E; q=1; x=1; y=65;
[Item] ID=cliffEdge1_E; q=1; x=1; y=66;
[Item] ID=cliffEdge1_E; q=1; x=1; y=67;
[Item] ID=cliffEdge1_E; q=1; x=1; y=68;
[Item] ID=cliffEdge1_E; q=1; x=1; y=69;
[Item] ID=cliffEdge1_E; q=1; x=1; y=70;
[Item] ID=cliffEdge1_E; q=1; x=1; y=71;
[Item] ID=cliffEdge1_E; q=1; x=1; y=72;
[Item] ID=cliffEdge1_E; q=1; x=1; y=73;
[Item] ID=cliffEdge1_E; q=1; x=1; y=74;
[Item] ID=cliffEdge1_E; q=1; x=1; y=75;
[Item] ID=cliffEdge1_E; q=1; x=1; y=76;
[Item] ID=cliffEdge1_E; q=1; x=1; y=77;
[Item] ID=cliffEdge1_E; q=1; x=1; y=78;
[Item] ID=cliffEdge1_E; q=1; x=1; y=79;
[Item] ID=cliffEdge1_E; q=1; x=1; y=80;
[Item] ID=cliffEdge1_E; q=1; x=1; y=81;
[Item] ID=cliffEdge1_E; q=1; x=1; y=82;
[Item] ID=cliffEdge1_E; q=1; x=1; y=83;
[Item] ID=cliffEdge1_E; q=1; x=1; y=84;
[Item] ID=cliffEdge1_E; q=1; x=1; y=85;
[Item] ID=cliffEdge1_E; q=1; x=1; y=86;
[Item] ID=cliffEdge1_E; q=1; x=1; y=87;
[Item] ID=cliffEdge1_E; q=1; x=1; y=88;
[Item] ID=cliffEdge1_E; q=1; x=1; y=89;
[Item] ID=cliffEdge1_E; q=1; x=1; y=90;
[Item] ID=cliffEdge1_E; q=1; x=1; y=91;
[Item] ID=cliffEdge1_E; q=1; x=1; y=92;
[Item] ID=cliffEdge1_SW; q=1; r=-360; x=1; y=93;
[Item] ID=rubble; q=1; x=1; y=94;
[Item] ID=cliffEdge1_corner; q=1; r=-360; x=1; y=95;
[Item] ID=cliffEdge1_SW; q=1; r=-360; x=1; y=96;
[Item] ID=cliffEdge1_corner; q=1; r=-360; x=1; y=97;
[Item] ID=cliffEdge1_SW; q=1; r=-360; x=1; y=98;
[Item] ID=cliffEdge1_S; q=1; x=1; y=99;
[Item] ID=cliffEdge1_S; q=1; x=1; y=100;
[Item] ID=cliffEdge1_S; q=1; x=1; y=101;
[Item] ID=rubble; q=1; x=2; y=0;
[Item] ID=cliffEdge1_corner; q=1; r=-360; x=2; y=1;
[Item] ID=cliffEdge1_SW; q=1; r=-360; x=2; y=2;
[Item] ID=cliffEdge1_S; q=1; x=2; y=3;
[Item] ID=cliffEdge1_S; q=1; x=2; y=5;
[Item] ID=rubble; q=1; x=2; y=6;
[Item] ID=cliffEdge1_corner; q=1; r=-360; x=2; y=16;
[Item] ID=cliffEdge1_E; q=1; x=2; y=17;
[Item] ID=cliffEdge1_E; q=1; x=2; y=18;
[Item] ID=cliffEdge1_E; q=1; x=2; y=19;
[Item] ID=cliffEdge1_E; q=1; x=2; y=20;
[Item] ID=cliffEdge1_E; q=1; x=2; y=21;
[Item] ID=cliffEdge1_E; q=1; x=2; y=22;
[Item] ID=cliffEdge1_E; q=1; x=2; y=23;
[Item] ID=cliffEdge1_E; q=1; x=2; y=24;
[Item] ID=cliffEdge1_E; q=1; x=2; y=25;
[Item] ID=cliffEdge1_corner2; q=1; r=-360; x=2; y=26;
[Item] ID=cliffEdge1_corner; q=1; r=-360; x=2; y=38;
[Item] ID=cliffEdge1_E; q=1; x=2; y=39;
[Item] ID=cliffEdge1_E; q=1; x=2; y=40;
[Item] ID=cliffEdge1_E; q=1; x=2; y=41;
[Item] ID=cliffEdge1_E; q=1; x=2; y=42;
[Item] ID=cliffEdge1_E; q=1; x=2; y=43;
[Item] ID=cliffEdge1_E; q=1; x=2; y=44;
[Item] ID=cliffEdge1_E; q=1; x=2; y=45;
[Item] ID=cliffEdge1_E; q=1; x=2; y=46;
[Item] ID=cliffEdge1_E; q=1; x=2; y=47;
[Item] ID=cliffEdge1_corner2; q=1; r=-360; x=2; y=48;
[Item] ID=cliffEdge1_NW; q=1; r=-360; x=2; y=53;
[Item] ID=cliffEdge1_E_top; q=1; x=2; y=54;
[Item] ID=cliffEdge1_E; q=1; x=2; y=55;
[Item] ID=cliffEdge1_E; q=1; x=2; y=56;
[Item] ID=cliffEdge1_E; q=1; x=2; y=57;
[Item] ID=cliffEdge1_E; q=1; x=2; y=58;
[Item] ID=cliffEdge1_SW; q=1; r=-360; x=2; y=59;
[Item] ID=cliffEdge1_corner; q=1; r=-360; x=2; y=64;
[Item] ID=cliffEdge1_E; q=1; x=2; y=65;
[Item] ID=cliffEdge1_E; q=1; x=2; y=66;
[Item] ID=cliffEdge1_E; q=1; x=2; y=67;
[Item] ID=cliffEdge1_E; q=1; x=2; y=68;
[Item] ID=cliffEdge1_E; q=1; x=2; y=69;
[Item] ID=cliffEdge1_E; q=1; x=2; y=70;
[Item] ID=cliffEdge1_E; q=1; x=2; y=71;
[Item] ID=cliffEdge1_E; q=1; x=2; y=72;
[Item] ID=cliffEdge1_E; q=1; x=2; y=73;
[Item] ID=cliffEdge1_E; q=1; x=2; y=74;
[Item] ID=cliffEdge1_E; q=1; x=2; y=75;
[Item] ID=cliffEdge1_corner2; q=1; r=-360; x=2; y=76;
[Item] ID=rubble; q=1; x=2; y=84;
[Item] ID=cliffEdge1_S; q=1; x=2; y=95;
[Item] ID=cliffEdge1_S_stairs; q=1; x=2; y=97;
[Item] ID=cliffEdge1_S; q=1; x=2; y=99;
[Item] ID=cliffEdge1_S; q=1; x=2; y=100;
[Item] ID=cliffEdge1_S; q=1; x=2; y=101;
[Item] ID=cliffEdge1_S; q=1; x=3; y=1;
[Item] ID=cliffEdge1_S; q=1; x=3; y=3;
[Item] ID=cliffEdge1_S; q=1; x=3; y=5;
[Item] ID=cliffEdge1_corner; q=1; r=-360; x=3; y=7;
[Item] ID=cliffEdge1_E; q=1; x=3; y=8;
[Item] ID=cliffEdge1_E; q=1; x=3; y=9;
[Item] ID=cliffEdge1_E; q=1; x=3; y=10;
[Item] ID=cliffEdge1_E; q=1; x=3; y=11;
[Item] ID=cliffEdge1_E; q=1; x=3; y=12;
[Item] ID=cliffEdge1_E; q=1; x=3; y=13;
[Item] ID=cliffEdge1_E; q=1; x=3; y=14;
[Item] ID=cliffEdge1_E; q=1; x=3; y=15;
[Item] ID=cliffEdge1_SW; q=1; r=-360; x=3; y=16;
[Item] ID=cliffEdge1_NW; q=1; r=-360; x=3; y=26;
[Item] ID=cliffEdge1_E_top; q=1; x=3; y=27;
[Item] ID=cliffEdge1_E; q=1; x=3; y=28;
[Item] ID=cliffEdge1_E; q=1; x=3; y=29;
[Item] ID=cliffEdge1_E; q=1; x=3; y=30;
[Item] ID=cliffEdge1_E; q=1; x=3; y=31;
[Item] ID=cliffEdge1_E; q=1; x=3; y=32;
[Item] ID=cliffEdge1_E; q=1; x=3; y=33;
[Item] ID=cliffEdge1_E; q=1; x=3; y=34;
[Item] ID=cliffEdge1_E; q=1; x=3; y=35;
[Item] ID=cliffEdge1_E; q=1; x=3; y=36;
[Item] ID=cliffEdge1_E; q=1; x=3; y=37;
[Item] ID=cliffEdge1_SW; q=1; r=-360; x=3; y=38;
[Item] ID=rubble; q=1; x=3; y=40;
[Item] ID=rubble; q=1; x=3; y=43;
[Item] ID=cliffEdge1_NW; q=1; r=-360; x=3; y=48;
[Item] ID=cliffEdge1_E_top; q=1; x=3; y=49;
[Item] ID=cliffEdge1_E; q=1; x=3; y=50;
[Item] ID=cliffEdge1_E; q=1; x=3; y=51;
[Item] ID=cliffEdge1_E; q=1; x=3; y=52;
[Item] ID=cliffEdge1_E; q=1; x=3; y=53;
[Item] ID=cliffEdge1_E; q=1; x=3; y=54;
[Item] ID=cliffEdge1_E; q=1; x=3; y=55;
[Item] ID=cliffEdge1_E; q=1; x=3; y=56;
[Item] ID=cliffEdge1_E; q=1; x=3; y=57;
[Item] ID=cliffEdge1_E; q=1; x=3; y=58;
[Item] ID=cliffEdge1_E; q=1; x=3; y=59;
[Item] ID=cliffEdge1_E; q=1; x=3; y=60;
[Item] ID=cliffEdge1_E; q=1; x=3; y=61;
[Item] ID=cliffEdge1_E; q=1; x=3; y=62;
[Item] ID=cliffEdge1_E; q=1; x=3; y=63;
[Item] ID=cliffEdge1_SW; q=1; r=-360; x=3; y=64;
[Item] ID=rubble; q=1; x=3; y=65;
[Item] ID=rubble; q=1; x=3; y=68;
[Item] ID=cliffEdge1_NW; q=1; r=-360; x=3; y=76;
[Item] ID=cliffEdge1_E_top; q=1; x=3; y=77;
[Item] ID=cliffEdge1_E; q=1; x=3; y=78;
[Item] ID=cliffEdge1_E; q=1; x=3; y=79;
[Item] ID=cliffEdge1_E; q=1; x=3; y=80;
[Item] ID=cliffEdge1_corner2; q=1; r=-360; x=3; y=81;
[Item] ID=cliffEdge1_corner; q=1; r=-360; x=3; y=89;
[Item] ID=cliffEdge1_corner2; q=1; r=-360; x=3; y=90;
[Item] ID=cliffEdge1_corner; q=1; r=-360; x=3; y=93;
[Item] ID=cliffEdge1_E; q=1; x=3; y=94;
[Item] ID=cliffEdge1_SW; q=1; r=-360; x=3; y=95;
[Item] ID=cliffEdge1_S; q=1; x=3; y=97;
[Item] ID=cliffEdge1_S; q=1; x=3; y=99;
[Item] ID=cliffEdge1_S; q=1; x=3; y=100;
[Item] ID=cliffEdge1_S; q=1; x=3; y=101;
[Item] ID=cliffEdge1_S; q=1; x=4; y=1;
[Item] ID=cliffEdge1_S; q=1; x=4; y=3;
[Item] ID=cliffEdge1_corner; q=1; r=-360; x=4; y=4;
[Item] ID=cliffEdge1_SW; q=1; r=-360; x=4; y=5;
[Item] ID=cliffEdge1_S; q=1; x=4; y=7;
[Item] ID=rubble; q=1; x=4; y=8;
[Item] ID=rubble; q=1; x=4; y=9;
[Item] ID=rubble; q=1; x=4; y=10;
[Item] ID=rubble; q=1; x=4; y=44;
[Item] ID=rubble; q=1; x=4; y=56;
[Item] ID=ironice_chunk; q=1; bu=True; x=4; y=57;
[Item] ID=rubble; q=1; x=4; y=58;
[Item] ID=rubble; q=1; x=4; y=62;
[Item] ID=rubble; q=1; x=4; y=74;
[Item] ID=rubble; q=1; x=4; y=80;
[Item] ID=cliffEdge1_NW; q=1; r=-360; x=4; y=81;
[Item] ID=cliffEdge1_E_top; q=1; x=4; y=82;
[Item] ID=cliffEdge1_E; q=1; x=4; y=83;
[Item] ID=cliffEdge1_E; q=1; x=4; y=84;
[Item] ID=cliffEdge1_E; q=1; x=4; y=85;
[Item] ID=cliffEdge1_E; q=1; x=4; y=86;
[Item] ID=cliffEdge1_E; q=1; x=4; y=87;
[Item] ID=cliffEdge1_E; q=1; x=4; y=88;
[Item] ID=cliffEdge1_SW; q=1; r=-360; x=4; y=89;
[Item] ID=rubble; q=1; x=4; y=90;
[Item] ID=cliffEdge1_NW; q=1; r=-360; x=4; y=90;
[Item] ID=cliffEdge1_E_top; q=1; x=4; y=91;
[Item] ID=cliffEdge1_E; q=1; x=4; y=92;
[Item] ID=cliffEdge1_SW; q=1; r=-360; x=4; y=93;
[Item] ID=rubble; q=1; x=4; y=94;
[Item] ID=cliffEdge1_S; q=1; x=4; y=97;
[Item] ID=cliffEdge1_S; q=1; x=4; y=99;
[Item] ID=cliffEdge1_S; q=1; x=4; y=100;
[Item] ID=cliffEdge1_S; q=1; x=4; y=101;
[Item] ID=cliffEdge1_S; q=1; x=5; y=1;
[Item] ID=cliffEdge1_S; q=1; x=5; y=3;
[Item] ID=cliffEdge1_S; q=1; x=5; y=4;
[Item] ID=cliffEdge1_S; q=1; x=5; y=7;
[Item] ID=rubble; q=1; x=5; y=8;
[Item] ID=rubble; q=1; x=5; y=11;
[Item] ID=rubble; q=1; x=5; y=21;
[Item] ID=rubble; q=1; x=5; y=49;
[Item] ID=rubble; q=1; x=5; y=57;
[Item] ID=rubble; q=1; x=5; y=66;
[Item] ID=rubble; q=1; x=5; y=79;
[Item] ID=rubble; q=1; x=5; y=84;
[Item] ID=rubble; q=1; x=5; y=87;
[Item] ID=rubble; q=1; x=5; y=95;
[Item] ID=cliffEdge1_S; q=1; x=5; y=97;
[Item] ID=cliffEdge1_S; q=1; x=5; y=99;
[Item] ID=cliffEdge1_S; q=1; x=5; y=100;
[Item] ID=cliffEdge1_S; q=1; x=5; y=101;
[Item] ID=cliffEdge1_S; q=1; x=6; y=1;
[Item] ID=rocks1; q=1; x=6; y=2;
[Item] ID=cliffEdge1_S; q=1; x=6; y=3;
[Item] ID=cliffEdge1_S; q=1; x=6; y=4;
[Item] ID=cliffEdge1_S; q=1; x=6; y=7;
[Item] ID=rubble; q=1; x=6; y=9;
[Item] ID=rocks1; q=1; x=6; y=40;
[Item] ID=rubble; q=1; x=6; y=82;
[Item] ID=stash_dirt_loot4; q=1; x=6; y=92;
[Item] ID=cliffEdge1_S; q=1; x=6; y=97;
[Item] ID=cliffEdge1_S; q=1; x=6; y=99;
[Item] ID=cliffEdge1_S; q=1; x=6; y=100;
[Item] ID=cliffEdge1_S; q=1; x=6; y=101;
[Item] ID=shoreEdge1; q=1; r=-360; x=6; y=103;
[Item] ID=cliffEdge1_S; q=1; x=7; y=1;
[Item] ID=cliffEdge1_S; q=1; x=7; y=3;
[Item] ID=cliffEdge1_S; q=1; x=7; y=4;
[Item] ID=cliffEdge1_corner; q=1; r=-360; x=7; y=6;
[Item] ID=cliffEdge1_SW; q=1; r=-360; x=7; y=7;
[Item] ID=rubble; q=1; x=7; y=8;
[Item] ID=rubble; q=1; x=7; y=12;
[Item] ID=rubble; q=1; x=7; y=23;
[Item] ID=rubble; q=1; x=7; y=34;
[Item] ID=stash_dirt_loot2; q=1; x=7; y=40;
[Item] ID=rubble; q=1; x=7; y=71;
[Item] ID=cliffEdge1_S; q=1; x=7; y=97;
[Item] ID=cliffEdge1_S; q=1; x=7; y=99;
[Item] ID=cliffEdge1_S; q=1; x=7; y=100;
[Item] ID=cliffEdge1_S; q=1; x=7; y=101;
[Item] ID=cliffEdge1_S; q=1; x=8; y=1;
[Item] ID=cliffEdge1_S; q=1; x=8; y=3;
[Item] ID=cliffEdge1_S; q=1; x=8; y=4;
[Item] ID=cliffEdge1_S; q=1; x=8; y=6;
[Item] ID=rubble; q=1; x=8; y=7;
[Item] ID=rubble; q=1; x=8; y=63;
[Item] ID=cliffEdge1_NW; q=1; r=360; x=8; y=85;
[Item] ID=cliffEdge1_W_top; q=1; x=8; y=86;
[Item] ID=cliffEdge1_W; q=1; x=8; y=87;
[Item] ID=cliffEdge1_W; q=1; x=8; y=88;
[Item] ID=cliffEdge1_W; q=1; x=8; y=89;
[Item] ID=cliffEdge1_SW; q=1; r=360; x=8; y=90;
[Item] ID=rubble; q=1; x=8; y=93;
