[Zone]  ID=zBeach0c2; dark=True; timeUntilNewDay=24; showFogOfWar=True; fogOfWar=True; minimapEnabled=True; allowCameraPastZoneEdges=False; cantAct=False; cantGameOver=False; alwaysKeepWeaponsUnsheathed=False; peaceful=False; overseerMode=False; rollingPinStyle=False; drawSky=False; drawSky_overrideYpos=-1; boatZone=False; wind=False; overworld=False; canDropItems=True; 
 travelSong=PM-Investigation3; travelSongVolume=1; travelSongPitch=0; combatSong=; combatSongVolume=1; combatSongPitch=0; combatSongDelay=0; 
darkR=71; darkG=57; darkB=86; 
 screenWaveFreq=0; screenDarkWaveFreq=0; screenWaveAmp=0.01; screenDarkWaveAmp=0.01; screenWaveSpeed=0.2; screenWaveAmp_reflect=0.0014; 
 bgTerrainTypeID=; bgFXID=oceanB; bgFX_sineWave=8; darkenedTileTexture=darkenedTile; bgScale=1; bgParallaxRatio=1; bgMoveSpeedX=0; bgMoveSpeedY=0; 
paletteOverride=; zoneDirtPalette=pYellow6; zoneGrassPalette=pGreen; zoneGrassDarkPalette=pGreen2; zoneStonePalette=pGreyD; zoneStoneDarkPalette=pGreyD2; zoneStoneLightPalette=pGreyD; zoneWaterPalette=p48; zoneDirtDarkPalette=p20; zoneWoodPalette=pYellow5; zoneWoodDarkPalette=pWoodDark; zoneMisc1Palette=p50; zoneMisc2Palette=pWoodDark; zoneMisc3Palette=pRed3; zoneMisc4Palette=pBlue; zoneMisc5Palette=pGreen; zoneMisc6Palette=pOrange; zoneMisc7Palette=pYellow; zoneMisc8Palette=pPurple; 

combatMode=False; 

[Item] ID=rubble; q=1; x=12; y=33;
[Item] ID=fork; q=1; x=16; y=48;
[Item] ID=roof2_flat5; q=1; x=16; y=49;
[Item] ID=stool3; q=1; x=16; y=49;
[Item] ID=roof2_flat5; q=1; x=16; y=50;
[Item] ID=roof2_flat8; q=1; x=16; y=51;
[Item] ID=table_left; q=1; x=16; y=51;
[Item] ID=blockedLoE; q=1; x=16; y=52;
[Item] ID=cantBlackenTile; q=1; x=16; y=52;
[Item] ID=sunbeam; q=1; x=17; y=23;
[Item] ID=blocker_reactions; q=1; x=17; y=27;
[Item] ID=rockEdge1_S_overhang_wall; q=1; x=17; y=27;
[Item] ID=tile_cantTarget; q=1; x=17; y=28;
[Item] ID=fade_f11; q=1; r=90; x=17; y=29;
[Item] ID=door_closed_stone_big_seal_magic; q=1; r=360; x=17; y=29;
[Item] ID=travelPoint_1; q=1; r=90; x=17; y=31;
[Item] ID=fade_f5; q=1; x=17; y=41;
[Item] ID=roof2_flat2; q=1; x=17; y=42;
[Item] ID=doorway_misc; q=1; x=17; y=42;
[Item] ID=roof2_flat5; q=1; x=17; y=43;
[Item] ID=roof2_flat5; q=1; x=17; y=44;
[Item] ID=roof1_ornament2; q=1; x=17; y=44;
[Item] ID=table_right; q=1; x=17; y=45;
[Item] ID=roof2_flat5; q=1; x=17; y=45;
[Item] ID=tableclothR1; q=3; x=17; y=45;
[Item] ID=roof2_flat5; q=1; x=17; y=46;
[Item] ID=roof2_flat5; q=1; x=17; y=47;
[Item] ID=stool3; q=1; x=17; y=47;
[Item] ID=table_mid; q=1; x=17; y=48;
[Item] ID=roof2_flat5; q=1; x=17; y=48;
[Item] ID=roof1_ornament2; q=1; x=17; y=48;
[Item] ID=plate; q=1; x=17; y=48;
[Item] ID=roof2_flat5; q=1; x=17; y=49;
[Item] ID=roof2_flat5; q=1; x=17; y=50;
[Item] ID=table_right; q=1; x=17; y=51;
[Item] ID=roof2_flat8; q=1; x=17; y=51;
[Item] ID=mug; q=1; x=17; y=51;
[Item] ID=blockedLoE; q=1; x=17; y=52;
[Item] ID=cantBlackenTile; q=1; x=17; y=52;
[Item] ID=blocker_reactions; q=1; x=18; y=27;
[Item] ID=rockEdge1_S_overhang_wall; q=1; x=18; y=27;
[Item] ID=tile_cantTarget; q=1; x=18; y=28;
[Item] ID=fade_f11; q=1; r=90; x=18; y=29;
[Item] ID=door_closed_stone_big_seal_magic; q=1; r=360; x=18; y=29;
[Item] ID=roof2_flat2; q=1; x=18; y=42;
[Item] ID=blockedLoE; q=1; x=18; y=42;
[Item] ID=roof2_flat5; q=1; x=18; y=43;
[Item] ID=roof2_flat5; q=1; x=18; y=44;
[Item] ID=roof2_flat5; q=1; x=18; y=45;
[Item] ID=roof2_flat5; q=1; x=18; y=46;
[Item] ID=roof2_flat5; q=1; x=18; y=47;
[Item] ID=table_right; q=1; x=18; y=48;
[Item] ID=roof2_flat5; q=1; x=18; y=48;
[Item] ID=roof2_flat5; q=1; x=18; y=49;
[Item] ID=roof2_flat5; q=1; x=18; y=50;
[Item] ID=roof2_flat8; q=1; x=18; y=51;
[Item] ID=stool3; q=1; x=18; y=51;
[Item] ID=blockedLoE; q=1; x=18; y=52;
[Item] ID=cantBlackenTile; q=1; x=18; y=52;
[Item] ID=blocker_reactions; q=1; x=19; y=27;
[Item] ID=blocker_reactions; q=1; x=19; y=28;
[Item] ID=blocker_reactions; q=1; x=19; y=29;
[Item] ID=rockEdge1_S_overhang_wall; q=1; x=19; y=29;
[Item] ID=roof2_flat2; q=1; x=19; y=42;
[Item] ID=blockedLoE; q=1; x=19; y=42;
[Item] ID=table_left; q=1; x=19; y=43;
[Item] ID=roof2_flat5; q=1; x=19; y=43;
[Item] ID=roof2_flat5; q=1; x=19; y=44;
[Item] ID=roof2_flat5; q=1; x=19; y=45;
[Item] ID=roof2_flat5; q=1; x=19; y=46;
[Item] ID=roof2_flat5; q=1; x=19; y=47;
[Item] ID=roof2_flat5; q=1; x=19; y=48;
[Item] ID=roof2_flat5; q=1; x=19; y=49;
[Item] ID=roof2_flat5; q=1; x=19; y=50;
[Item] ID=roof2_flat8; q=1; x=19; y=51;
[Item] ID=doorway_closed_misc; q=1; x=19; y=52;
[Item] ID=cantBlackenTile; q=1; x=19; y=52;
[Item] ID=blocker_reactions; q=1; x=20; y=28;
[Item] ID=woodSupport2; q=1; r=-270; x=20; y=28;
[Item] ID=woodSupport2; q=1; r=-270; oX=0; oY=-16; x=20; y=28;
[Item] ID=blocker_reactions; q=1; x=20; y=29;
[Item] ID=woodSupport2; q=1; r=-270; x=20; y=29;
[Item] ID=rocks1; q=6; x=20; y=30;
[Item] ID=rocks1; q=1; x=20; y=35;
[Item] ID=rubble; q=1; x=20; y=41;
[Item] ID=roof2_flat2; q=1; x=20; y=42;
[Item] ID=blockedLoE; q=1; x=20; y=42;
[Item] ID=roof2_flat5; q=1; x=20; y=43;
[Item] ID=table_right; q=1; x=20; y=43;
[Item] ID=roof2_flat5; q=1; x=20; y=44;
[Item] ID=roof2_flat5; q=1; x=20; y=45;
[Item] ID=table_left; q=1; x=20; y=46;
[Item] ID=roof2_flat5; q=1; x=20; y=46;
[Item] ID=roof2_flat5; q=1; x=20; y=47;
[Item] ID=stool3; q=1; x=20; y=47;
[Item] ID=roof2_flat5; q=1; x=20; y=48;
[Item] ID=roof2_flat5; q=1; x=20; y=49;
[Item] ID=roof2_flat5; q=1; x=20; y=50;
[Item] ID=roof2_flat8; q=1; x=20; y=51;
[Item] ID=blockedLoE; q=1; x=20; y=52;
[Item] ID=cantBlackenTile; q=1; x=20; y=52;
[Item] ID=boulder2; q=1; x=21; y=35;
[Item] ID=rubble; q=1; x=21; y=36;
[Item] ID=pebbles1; q=1; r=180; x=21; y=37;
[Item] ID=rubble; q=1; x=21; y=41;
[Item] ID=lantern_mounted1; q=1; oX=0; oY=4; x=21; y=42;
[Item] ID=roof2_flat2; q=1; x=21; y=42;
[Item] ID=blockedLoE; q=1; x=21; y=42;
[Item] ID=roof2_flat5; q=1; x=21; y=43;
[Item] ID=puddle_beer; q=1; x=21; y=43;
[Item] ID=roof2_flat5; q=1; x=21; y=44;
[Item] ID=roof1_ornament2; q=1; x=21; y=44;
[Item] ID=roof2_flat5; q=1; x=21; y=45;
[Item] ID=stool3; q=1; x=21; y=45;
[Item] ID=table_mid; q=1; x=21; y=46;
[Item] ID=roof2_flat5; q=1; x=21; y=46;
[Item] ID=roof2_flat5; q=1; x=21; y=47;
[Item] ID=roof2_flat5; q=1; x=21; y=48;
[Item] ID=roof1_ornament2; q=1; x=21; y=48;
[Item] ID=stool3; q=1; x=21; y=48;
[Item] ID=table_left; q=1; x=21; y=49;
[Item] ID=roof2_flat5; q=1; x=21; y=49;
[Item] ID=tableclothL1; q=3; x=21; y=49;
[Item] ID=bottle_beer; q=1; x=21; y=49;
[Item] ID=roof2_flat5; q=1; x=21; y=50;
[Item] ID=roof2_flat8; q=1; x=21; y=51;
[Item] ID=lantern_mounted1; q=1; oX=0; oY=4; x=21; y=52;
[Item] ID=blockedLoE; q=1; x=21; y=52;
[Item] ID=cantBlackenTile; q=1; x=21; y=52;
[Item] ID=rubble; q=1; x=22; y=35;
[Item] ID=rocks1; q=1; x=22; y=41;
[Item] ID=roof2_flat2; q=1; x=22; y=42;
[Item] ID=blockedLoE; q=1; x=22; y=42;
[Item] ID=keg; q=1; x=22; y=43;
[Item] ID=roof2_flat5; q=1; x=22; y=43;
[Item] ID=roof2_flat5; q=1; x=22; y=44;
[Item] ID=roof2_flat5; q=1; x=22; y=45;
[Item] ID=table_right; q=1; x=22; y=46;
[Item] ID=roof2_flat5; q=1; x=22; y=46;
[Item] ID=roof2_flat5; q=1; x=22; y=47;
[Item] ID=stool3; q=1; x=22; y=47;
[Item] ID=roof2_flat5; q=1; x=22; y=48;
[Item] ID=table_right; q=1; x=22; y=49;
[Item] ID=roof2_flat5; q=1; x=22; y=49;
[Item] ID=tableclothR1; q=3; x=22; y=49;
[Item] ID=roof2_flat5; q=1; x=22; y=50;
[Item] ID=roof2_flat8; q=1; x=22; y=51;
[Item] ID=rope_pile_huge2; q=1; x=22; y=51;
[Item] ID=cantBlackenTile; q=1; x=22; y=52;
[Item] ID=blockedLoE; q=1; x=22; y=52;
[Item] ID=rockEdge1_S_overhang_wall; q=1; x=23; y=6;
[Item] ID=woodSupport2; q=1; r=-90; oX=0; oY=-16; x=23; y=31;
[Item] ID=woodSupport2; q=1; r=-90; x=23; y=31;
[Item] ID=lantern_mounted1; q=1; r=-360; x=23; y=31;
[Item] ID=rubble; q=1; x=23; y=32;
[Item] ID=rubble; q=1; x=23; y=35;
[Item] ID=debris_small3; q=1; r=-360; x=23; y=39;
[Item] ID=boat_fcastle_corner2; q=1; r=90; x=23; y=42;
[Item] ID=roof2_flat3; q=1; x=23; y=42;
[Item] ID=roof1_ornament2; q=1; x=23; y=42;
[Item] ID=blockedLoE; q=1; x=23; y=42;
[Item] ID=roof2_flat6; q=1; x=23; y=43;
[Item] ID=blockedLoE; q=1; x=23; y=43;
[Item] ID=roof2_flat6; q=1; x=23; y=44;
[Item] ID=blockedLoE; q=1; x=23; y=44;
[Item] ID=roof2_flat6; q=1; x=23; y=45;
[Item] ID=blockedLoE; q=1; x=23; y=45;
[Item] ID=roof2_flat6; q=1; x=23; y=46;
[Item] ID=blockedLoE; q=1; x=23; y=46;
[Item] ID=roof2_flat6; q=1; x=23; y=47;
[Item] ID=blockedLoE; q=1; x=23; y=47;
[Item] ID=roof2_flat6; q=1; x=23; y=48;
[Item] ID=blockedLoE; q=1; x=23; y=48;
[Item] ID=roof2_flat6; q=1; x=23; y=49;
[Item] ID=blockedLoE; q=1; x=23; y=49;
[Item] ID=roof2_flat6; q=1; x=23; y=50;
[Item] ID=blockedLoE; q=1; x=23; y=50;
[Item] ID=roof2_flat9; q=1; x=23; y=51;
[Item] ID=roof1_ornament2; q=1; x=23; y=51;
[Item] ID=blockedLoE; q=1; x=23; y=51;
[Item] ID=blockedLoE; q=1; x=23; y=52;
[Item] ID=cantBlackenTile; q=1; x=23; y=52;
[Item] ID=bin_empty; q=1; x=23; y=54;
[Item] ID=rockEdge1_S_overhang_wall; q=1; x=24; y=7;
[Item] ID=dirt_sandy2; q=3; x=24; y=34;
[Item] ID=rocks1; q=2; x=24; y=39;
[Item] ID=pebbles2; q=1; x=24; y=39;
[Item] ID=rubble; q=1; x=24; y=42;
[Item] ID=rockEdge1_S_overhang_wall; q=1; x=24; y=45;
[Item] ID=bottle; q=1; r=270; x=24; y=53;
[Item] ID=rockEdge1_S_overhang_wall; q=1; x=25; y=7;
[Item] ID=rubble; q=1; x=25; y=39;
[Item] ID=pebbles1; q=1; x=25; y=41;
[Item] ID=cliff_rock3; q=1; x=25; y=44;
[Item] ID=debris_wood; q=1; r=360; x=25; y=54;
[Item] ID=rockEdge1_S_overhang_wall; q=1; x=26; y=26;
[Item] ID=rockEdge1_overhang2; q=1; x=26; y=27;
[Item] ID=rockEdge1_S_overhang_wall; q=1; x=26; y=32;
[Item] ID=rockEdge1_overhang2; q=1; x=26; y=33;
[Item] ID=rockEdge1_S_overhang_wall; q=1; x=27; y=33;
[Item] ID=rockEdge1_S_overhang_wall; q=1; x=28; y=6;
[Item] ID=rockEdge1_S_overhang_wall; q=1; x=28; y=33;
[Item] ID=boat_fcastle_corner2; q=1; x=29; y=23;
[Item] ID=roof2_flat1; q=1; x=29; y=23;
[Item] ID=roof1_ornament2; q=1; x=29; y=23;
[Item] ID=blockedWalkJump; q=1; x=29; y=23;
[Item] ID=roof2_flat4; q=1; x=29; y=24;
[Item] ID=blockedWalkJump; q=1; x=29; y=24;
[Item] ID=roof2_flat4; q=1; x=29; y=25;
[Item] ID=blockedWalkJump; q=1; x=29; y=25;
[Item] ID=roof2_flat4; q=1; x=29; y=26;
[Item] ID=blockedWalkJump; q=1; x=29; y=26;
[Item] ID=roof2_flat4; q=1; x=29; y=27;
[Item] ID=blockedWalkJump; q=1; x=29; y=27;
[Item] ID=roof2_flat4; q=1; x=29; y=28;
[Item] ID=blockedWalkJump; q=1; x=29; y=28;
[Item] ID=roof2_flat4; q=1; x=29; y=29;
[Item] ID=blockedWalkJump; q=1; x=29; y=29;
[Item] ID=roof2_flat4; q=1; x=29; y=30;
[Item] ID=blockedWalkJump; q=1; x=29; y=30;
[Item] ID=roof2_flat4; q=1; x=29; y=31;
[Item] ID=blockedWalkJump; q=1; x=29; y=31;
[Item] ID=roof2_flat7; q=1; x=29; y=32;
[Item] ID=roof1_ornament2; q=1; x=29; y=32;
[Item] ID=blockedWalkJump; q=1; x=29; y=32;
[Item] ID=blockedLoE; q=1; x=29; y=33;
[Item] ID=cantBlackenTile; q=1; x=29; y=33;
[Item] ID=rockEdge1_S_overhang_wall; q=1; x=30; y=5;
[Item] ID=roof2_flat2; q=1; x=30; y=23;
[Item] ID=blockedWalkJump; q=1; x=30; y=23;
[Item] ID=stand_cornerTop; q=1; r=-360; x=30; y=24;
[Item] ID=lumber_pile1; q=3; x=30; y=24;
[Item] ID=roof2_flat5; q=1; x=30; y=24;
[Item] ID=stand_side; q=1; r=-360; x=30; y=25;
[Item] ID=roof2_flat5; q=1; x=30; y=25;
[Item] ID=shock_chunk; q=1; x=30; y=25;
[Item] ID=stand_cornerBtm; q=1; r=-360; x=30; y=26;
[Item] ID=roof2_flat5; q=1; x=30; y=26;
[Item] ID=roof2_flat5; q=1; x=30; y=27;
[Item] ID=dresser; q=1; oX=0; oY=6; x=30; y=27; containerID=0;
[Item] ID=gp; q=3; containedIn=0; cSlot=4;
[Item] ID=roof2_flat5; q=1; x=30; y=28;
[Item] ID=roof2_flat5; q=1; x=30; y=29;
[Item] ID=roof2_flat5; q=1; x=30; y=30;
[Item] ID=roof2_flat5; q=1; x=30; y=31;
[Item] ID=roof2_flat8; q=1; x=30; y=32;
[Item] ID=doorway_closed_misc; q=1; x=30; y=33;
[Item] ID=cantBlackenTile; q=1; x=30; y=33;
[Item] ID=lantern_mounted1; q=1; r=-360; x=31; y=23;
[Item] ID=roof2_flat2; q=1; x=31; y=23;
[Item] ID=blockedWalkJump; q=1; x=31; y=23;
[Item] ID=roof2_flat5; q=1; x=31; y=24;
[Item] ID=chest_stone1; q=1; oX=0; oY=-2; x=31; y=24; containerID=1;
[Item] ID=gp; q=76; containedIn=1; cSlot=0;
[Item] ID=abilityCrest; q=1; containedIn=1; cSlot=1;
[Item] ID=gp; q=48; containedIn=1; cSlot=2;
[Item] ID=gp; q=29; containedIn=1; cSlot=4;
[Item] ID=gp; q=3; containedIn=1; cSlot=5;
[Item] ID=roof2_flat5; q=1; x=31; y=25;
[Item] ID=roof2_flat5; q=1; x=31; y=26;
[Item] ID=roof2_flat5; q=1; x=31; y=27;
[Item] ID=roof2_flat5; q=1; x=31; y=28;
[Item] ID=roof2_flat5; q=1; x=31; y=29;
[Item] ID=roof2_flat5; q=1; x=31; y=30;
[Item] ID=roof2_flat5; q=1; x=31; y=31;
[Item] ID=roof2_flat8; q=1; x=31; y=32;
[Item] ID=lantern_mounted1; q=1; r=360; x=31; y=33;
[Item] ID=blockedLoE; q=1; x=31; y=33;
[Item] ID=cantBlackenTile; q=1; x=31; y=33;
[Item] ID=rockEdge1_S_overhang_wall; q=1; x=31; y=40;
[Item] ID=dirt_sandy2; q=3; r=180; x=31; y=53;
[Item] ID=dirt_sandy2; q=2; r=180; x=31; y=54;
[Item] ID=rockEdge1_S_overhang_wall; q=1; x=32; y=4;
[Item] ID=rockEdge1_S_overhang_wall; q=1; x=32; y=22;
[Item] ID=roof2_flat2; q=1; x=32; y=23;
[Item] ID=blockedWalkJump; q=1; x=32; y=23;
[Item] ID=bookshelves; q=1; x=32; y=24;
[Item] ID=roof2_flat5; q=1; x=32; y=24;
[Item] ID=blockedWalkJump; q=1; x=32; y=24;
[Item] ID=roof2_flat5; q=1; x=32; y=25;
[Item] ID=roof1_ornament2; q=1; x=32; y=25;
[Item] ID=roof2_flat5; q=1; x=32; y=26;
[Item] ID=table_small2; q=1; x=32; y=26;
[Item] ID=hipFlask; q=1; x=32; y=26;
[Item] ID=roof2_flat5; q=1; x=32; y=27;
[Item] ID=roof2_flat5; q=1; x=32; y=28;
[Item] ID=shelves_big_stuff6; q=1; r=360; x=32; y=28;
[Item] ID=roof2_flat5; q=1; x=32; y=29;
[Item] ID=roof1_ornament2; q=1; x=32; y=29;
[Item] ID=roof2_flat5; q=1; x=32; y=30;
[Item] ID=lumber_pile1_long_top; q=4; oX=0; oY=-2; x=32; y=31;
[Item] ID=roof2_flat5; q=1; x=32; y=31;
[Item] ID=lumber_pile1_long_btm; q=4; oX=0; oY=-2; x=32; y=32;
[Item] ID=roof2_flat8; q=1; x=32; y=32;
[Item] ID=blockedLoE; q=1; x=32; y=33;
[Item] ID=cantBlackenTile; q=1; x=32; y=33;
[Item] ID=rockEdge1_S_overhang_wall; q=1; x=32; y=41;
[Item] ID=lumber_pile1; q=3; x=32; y=50;
[Item] ID=roof2_flat2; q=1; x=33; y=23;
[Item] ID=roof1_ornament2; q=1; x=33; y=23;
[Item] ID=blockedWalkJump; q=1; x=33; y=23;
[Item] ID=roof2_flat5; q=1; x=33; y=24;
[Item] ID=roof2_flat5; q=1; x=33; y=25;
[Item] ID=roof2_flat5; q=1; x=33; y=26;
[Item] ID=boat_fcastle_corner2; q=1; r=270; x=33; y=27;
[Item] ID=roof2_flat5; q=1; x=33; y=27;
[Item] ID=roof2_flat5; q=1; x=33; y=28;
[Item] ID=shelves_big_empty2; q=1; r=-360; x=33; y=28;
[Item] ID=roof2_flat5; q=1; x=33; y=29;
[Item] ID=roof2_flat5; q=1; x=33; y=30;
[Item] ID=roof2_flat5; q=1; x=33; y=31;
[Item] ID=roof2_flat8; q=1; x=33; y=32;
[Item] ID=debris_wood_dark; q=1; r=360; x=33; y=32;
[Item] ID=blockedLoE; q=1; x=33; y=33;
[Item] ID=cantBlackenTile; q=1; x=33; y=33;
[Item] ID=debris_small3; q=1; x=33; y=50;
[Item] ID=rocks1; q=1; x=33; y=55;
[Item] ID=roof2_flat2; q=1; x=34; y=23;
[Item] ID=fade_s3; q=1; r=90; x=34; y=23;
[Item] ID=fade_s3; q=1; r=90; x=34; y=23;
[Item] ID=roof2_flat5; q=1; x=34; y=24;
[Item] ID=roof2_flat5; q=1; x=34; y=25;
[Item] ID=roof2_flat5; q=1; x=34; y=26;
[Item] ID=roof2_flat5; q=1; x=34; y=27;
[Item] ID=roof2_flat5; q=1; x=34; y=28;
[Item] ID=roof2_flat5; q=1; x=34; y=29;
[Item] ID=roof2_flat5; q=1; x=34; y=30;
[Item] ID=roof2_flat5; q=1; x=34; y=31;
[Item] ID=roof2_flat8; q=1; x=34; y=32;
[Item] ID=blockedLoE; q=1; x=34; y=33;
[Item] ID=cantBlackenTile; q=1; x=34; y=33;
[Item] ID=rubble; q=1; x=34; y=50;
[Item] ID=rubble; q=1; x=34; y=55;
[Item] ID=rockEdge1_S_overhang_wall; q=1; x=35; y=3;
[Item] ID=roof2_flat2; q=1; x=35; y=23;
[Item] ID=roof2_flat5; q=1; x=35; y=24;
[Item] ID=roof2_flat5; q=1; x=35; y=25;
[Item] ID=roof2_flat5; q=1; x=35; y=26;
[Item] ID=roof2_flat5; q=1; x=35; y=27;
[Item] ID=roof2_flat5; q=1; x=35; y=28;
[Item] ID=roof2_flat5; q=1; x=35; y=29;
[Item] ID=roof2_flat5; q=1; x=35; y=30;
[Item] ID=roof2_flat5; q=1; x=35; y=31;
[Item] ID=roof2_flat8; q=1; x=35; y=32;
[Item] ID=blockedLoE; q=1; x=35; y=33;
[Item] ID=cantBlackenTile; q=1; x=35; y=33;
[Item] ID=rocks1; q=2; r=360; x=35; y=49;
[Item] ID=roof2_flat2; q=1; x=36; y=23;
[Item] ID=roof2_flat5; q=1; x=36; y=24;
[Item] ID=roof2_flat5; q=1; x=36; y=25;
[Item] ID=roof2_flat5; q=1; x=36; y=26;
[Item] ID=roof2_flat5; q=1; x=36; y=27;
[Item] ID=roof2_flat5; q=1; x=36; y=28;
[Item] ID=roof2_flat5; q=1; x=36; y=29;
[Item] ID=roof2_flat5; q=1; x=36; y=30;
[Item] ID=roof2_flat5; q=1; x=36; y=31;
[Item] ID=roof2_flat8; q=1; x=36; y=32;
[Item] ID=blockedLoE; q=1; x=36; y=33;
[Item] ID=cantBlackenTile; q=1; x=36; y=33;
[Item] ID=rubble; q=1; x=36; y=49;
[Item] ID=pebbles2; q=1; x=36; y=54;
[Item] ID=rubble; q=1; x=36; y=55;
[Item] ID=rockEdge1_S_overhang_wall; q=1; x=37; y=2;
[Item] ID=roof2_flat2; q=1; x=37; y=23;
[Item] ID=fade_s3; q=1; r=180; x=37; y=23;
[Item] ID=fade_s3; q=1; r=180; x=37; y=23;
[Item] ID=roof2_flat5; q=1; x=37; y=24;
[Item] ID=roof2_flat5; q=1; x=37; y=25;
[Item] ID=roof2_flat5; q=1; x=37; y=26;
