[Zone]  ID=zCragrook1a; dark=True; timeUntilNewDay=24; showFogOfWar=True; fogOfWar=True; minimapEnabled=True; allowCameraPastZoneEdges=False; cantAct=False; cantGameOver=False; alwaysKeepWeaponsUnsheathed=False; peaceful=False; overseerMode=False; rollingPinStyle=False; drawSky=False; boatZone=False; wind=False; overworld=False; canDropItems=True; 
 travelSong=AmbientBeach; travelSongVolume=0.8; travelSongPitch=0; combatSong=; combatSongVolume=1; combatSongPitch=0; combatSongDelay=0; 
darkR=102; darkG=102; darkB=153; 
 screenWaveFreq=0; screenDarkWaveFreq=0; screenWaveAmp=0.01; screenDarkWaveAmp=0.01; screenWaveSpeed=0.2; screenWaveAmp_reflect=0.0014; 
 bgTerrainTypeID=; bgFXID=ocean; bgFX_sineWave=12; darkenedTileTexture=darkenedTile; bgScale=1; bgParallaxRatio=1; bgMoveSpeedX=0; bgMoveSpeedY=0; 
paletteOverride=; zoneDirtPalette=pYellow6; zoneGrassPalette=overworld1; zoneGrassDarkPalette=pGreen2; zoneStonePalette=p2; zoneStoneDarkPalette=pFangWeaponHilt; zoneStoneLightPalette=p2; zoneWaterPalette=pBlue; zoneDirtDarkPalette=pYellow6; zoneWoodPalette=pWood; zoneWoodDarkPalette=pWoodDark; zoneMisc1Palette=p2; zoneMisc2Palette=p12; zoneMisc3Palette=p2; zoneMisc4Palette=pBlue; zoneMisc5Palette=pGreen; zoneMisc6Palette=pOrange; zoneMisc7Palette=pYellow; zoneMisc8Palette=pPurple; 

combatMode=False; 

[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=12; y=15;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=15; y=30;
[Item] ID=blockedLoE; q=1; x=15; y=30;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=15; y=31;
[Item] ID=blockedLoE; q=1; x=15; y=31;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=15; y=32;
[Item] ID=blockedLoE; q=1; x=15; y=32;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=15; y=33;
[Item] ID=blockedLoE; q=1; x=15; y=33;
[Item] ID=outdoor_mtn_rangeR7_cr; q=1; x=15; y=34;
[Item] ID=blockedLoE; q=1; x=15; y=34;
[Item] ID=outdoor_mtn_rangeR1_cr; q=1; x=15; y=35;
[Item] ID=blockedLoE; q=1; x=15; y=35;
[Item] ID=outdoor_mtn_rangeR1_cr; q=1; x=15; y=36;
[Item] ID=blockedLoE; q=1; x=15; y=36;
[Item] ID=outdoor_mtn_rangeR1_cr; q=1; x=15; y=37;
[Item] ID=blockedLoE; q=1; x=15; y=37;
[Item] ID=outdoor_mtn_rangeR1_cr; q=1; x=15; y=38;
[Item] ID=blockedLoE; q=1; x=15; y=38;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=16; y=15;
[Item] ID=blockedLoE; q=1; x=16; y=15;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=16; y=16;
[Item] ID=blockedLoE; q=1; x=16; y=16;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=16; y=17;
[Item] ID=blockedLoE; q=1; x=16; y=17;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=16; y=18;
[Item] ID=blockedLoE; q=1; x=16; y=18;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=16; y=19;
[Item] ID=blockedLoE; q=1; x=16; y=19;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=16; y=20;
[Item] ID=blockedLoE; q=1; x=16; y=20;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=16; y=21;
[Item] ID=blockedLoE; q=1; x=16; y=21;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=16; y=22;
[Item] ID=blockedLoE; q=1; x=16; y=22;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=16; y=23;
[Item] ID=blockedLoE; q=1; x=16; y=23;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=16; y=24;
[Item] ID=blockedLoE; q=1; x=16; y=24;
[Item] ID=blockedLoE; q=1; x=16; y=25;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=16; y=25;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=16; y=26;
[Item] ID=blockedLoE; q=1; x=16; y=26;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=16; y=27;
[Item] ID=blockedLoE; q=1; x=16; y=27;
[Item] ID=outdoor_mtn_rangeR7_cr; q=1; x=16; y=28;
[Item] ID=blockedLoE; q=1; x=16; y=28;
[Item] ID=outdoor_mtn_rangeR1_cr; q=1; x=16; y=29;
[Item] ID=blockedLoE; q=1; x=16; y=29;
[Item] ID=outdoor_mtn_rangeR1_cr; q=1; x=16; y=30;
[Item] ID=blockedLoE; q=1; x=16; y=30;
[Item] ID=outdoor_mtn_rangeR1_cr; q=1; x=16; y=31;
[Item] ID=blockedLoE; q=1; x=16; y=31;
[Item] ID=outdoor_mtn_rangeR1_cr; q=1; x=16; y=32;
[Item] ID=blockedLoE; q=1; x=16; y=32;
[Item] ID=outdoor_mtn_rangeR1_cr; q=1; x=16; y=33;
[Item] ID=blockedLoE; q=1; x=16; y=33;
[Item] ID=outdoor_mtn_rangeR_base2_cr; q=1; x=16; y=34;
[Item] ID=blockedLoE; q=1; x=16; y=34;
[Item] ID=rubble; q=1; x=16; y=37;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=17; y=15;
[Item] ID=blockedLoE; q=1; x=17; y=15;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=17; y=16;
[Item] ID=blockedLoE; q=1; x=17; y=16;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=17; y=17;
[Item] ID=blockedLoE; q=1; x=17; y=17;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=17; y=18;
[Item] ID=blockedLoE; q=1; x=17; y=18;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=17; y=19;
[Item] ID=blockedLoE; q=1; x=17; y=19;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=17; y=20;
[Item] ID=blockedLoE; q=1; x=17; y=20;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=17; y=21;
[Item] ID=blockedLoE; q=1; x=17; y=21;
[Item] ID=outdoor_mtn_rangeM8_cr; q=1; x=17; y=22;
[Item] ID=blockedLoE; q=1; x=17; y=22;
[Item] ID=outdoor_mtn_rangeM10_cr; q=1; x=17; y=23;
[Item] ID=blockedLoE; q=1; x=17; y=23;
[Item] ID=outdoor_mtn_rangeR7_cr; q=1; x=17; y=24;
[Item] ID=blockedLoE; q=1; x=17; y=24;
[Item] ID=wall8_style5_p; q=3; x=17; y=25;
[Item] ID=roof1_style2; q=1; x=17; y=25;
[Item] ID=fade_line; q=1; x=17; y=25;
[Item] ID=wall7_style5_p; q=3; r=360; x=17; y=26;
[Item] ID=roof5_style2; q=1; x=17; y=26;
[Item] ID=fade_line; q=1; x=17; y=26;
[Item] ID=filth_faint; q=1; r=270; x=17; y=26;
[Item] ID=wall7_style5_p; q=3; r=360; x=17; y=27;
[Item] ID=roof9_style2; q=1; x=17; y=27;
[Item] ID=fade_line; q=1; x=17; y=27;
[Item] ID=filth_faint; q=2; r=270; x=17; y=27;
[Item] ID=wall1_style5_p; q=3; x=17; y=28;
[Item] ID=fade_line; q=1; x=17; y=28;
[Item] ID=cantBlackenTile; q=1; x=17; y=28;
[Item] ID=wall4_style5_p; q=3; x=17; y=29;
[Item] ID=filth; q=2; x=17; y=29;
[Item] ID=dirt_sandy2; q=2; r=270; x=17; y=29;
[Item] ID=cantBlackenTile; q=1; x=17; y=29;
[Item] ID=debris_small3; q=1; x=17; y=30;
[Item] ID=rubble; q=1; x=17; y=31;
[Item] ID=outdoor_mtn_rangeM10_cr; q=1; x=18; y=15;
[Item] ID=blockedLoE; q=1; x=18; y=15;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=18; y=16;
[Item] ID=blockedLoE; q=1; x=18; y=16;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=18; y=17;
[Item] ID=blockedLoE; q=1; x=18; y=17;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=18; y=18;
[Item] ID=blockedLoE; q=1; x=18; y=18;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=18; y=19;
[Item] ID=blockedLoE; q=1; x=18; y=19;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=18; y=20;
[Item] ID=blockedLoE; q=1; x=18; y=20;
[Item] ID=outdoor_mtn_rangeM13_cr; q=1; x=18; y=21;
[Item] ID=blockedLoE; q=1; x=18; y=21;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=18; y=22;
[Item] ID=blockedLoE; q=1; x=18; y=22;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=18; y=23;
[Item] ID=blockedLoE; q=1; x=18; y=23;
[Item] ID=outdoor_mtn_rangeM18_cr; q=1; x=18; y=24;
[Item] ID=blockedLoE; q=1; x=18; y=24;
[Item] ID=wall7_style5_p; q=3; r=90; x=18; y=25;
[Item] ID=roof2_style2; q=1; x=18; y=25;
[Item] ID=filth_faint; q=2; x=18; y=25;
[Item] ID=roof7_style2; q=1; x=18; y=26;
[Item] ID=filth_superfaint; q=4; r=270; x=18; y=26;
[Item] ID=web1; q=1; r=-270; x=18; y=26;
[Item] ID=rat1_runL; q=1; x=18; y=26;
[Item] ID=roof10_style2; q=1; x=18; y=27;
[Item] ID=rocks2; q=4; x=18; y=27;
[Item] ID=wall2_style5_p; q=3; x=18; y=28;
[Item] ID=rocks2; q=1; r=-360; x=18; y=28;
[Item] ID=filth_superfaint; q=1; r=90; x=18; y=28;
[Item] ID=web2; q=1; r=-180; x=18; y=28;
[Item] ID=wall5_style5_p; q=3; x=18; y=29;
[Item] ID=filth; q=3; x=18; y=29;
[Item] ID=dirt_sandy2; q=1; r=270; x=18; y=29;
[Item] ID=cantBlackenTile; q=1; x=18; y=29;
[Item] ID=woodPlank; q=1; bu=True; x=18; y=31;
[Item] ID=rubble; q=1; x=18; y=32;
[Item] ID=outdoor_mtn_rangeM12_cr; q=1; x=19; y=15;
[Item] ID=blockedLoE; q=1; x=19; y=15;
[Item] ID=outdoor_mtn_rangeM10_cr; q=1; x=19; y=16;
[Item] ID=blockedLoE; q=1; x=19; y=16;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=19; y=17;
[Item] ID=blockedLoE; q=1; x=19; y=17;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=19; y=18;
[Item] ID=blockedLoE; q=1; x=19; y=18;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=19; y=19;
[Item] ID=blockedLoE; q=1; x=19; y=19;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=19; y=20;
[Item] ID=blockedLoE; q=1; x=19; y=20;
[Item] ID=outdoor_mtn_rangeR8_cr; q=1; x=19; y=21;
[Item] ID=blockedLoE; q=1; x=19; y=21;
[Item] ID=outdoor_mtn_rangeM3_cr; q=1; x=19; y=22;
[Item] ID=blockedLoE; q=1; x=19; y=22;
[Item] ID=outdoor_mtn_rangeL9_cr; q=1; x=19; y=23;
[Item] ID=blockedLoE; q=1; x=19; y=23;
[Item] ID=outdoor_mtn_rangeL2_cr; q=1; x=19; y=24;
[Item] ID=blockedLoE; q=1; x=19; y=24;
[Item] ID=wall7_style5_p; q=3; r=90; x=19; y=25;
[Item] ID=roof3_style2; q=1; x=19; y=25;
[Item] ID=filth_faint; q=3; x=19; y=25;
[Item] ID=posters; q=2; r=360; x=19; y=25;
[Item] ID=roof6_style2; q=1; x=19; y=26;
[Item] ID=filth_superfaint; q=5; x=19; y=26;
[Item] ID=roof11_style2; q=1; x=19; y=27;
[Item] ID=filth_superfaint; q=2; r=180; x=19; y=27;
[Item] ID=wall2_style5_p; q=3; x=19; y=28;
[Item] ID=filth_superfaint; q=4; x=19; y=28;
[Item] ID=wall5_style5_p; q=3; x=19; y=29;
[Item] ID=doorway_misc; q=3; x=19; y=29;
[Item] ID=cantBlackenTile; q=1; x=19; y=29;
[Item] ID=filth_superfaint; q=1; r=180; x=19; y=30;
[Item] ID=rock_path1; q=1; x=19; y=30;
[Item] ID=rock_path3; q=1; x=19; y=31;
[Item] ID=outdoor_mtn_rangeM3_cr; q=1; x=20; y=15;
[Item] ID=blockedLoE; q=1; x=20; y=15;
[Item] ID=outdoor_mtn_rangeM4_cr; q=1; x=20; y=16;
[Item] ID=blockedLoE; q=1; x=20; y=16;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=20; y=17;
[Item] ID=blockedLoE; q=1; x=20; y=17;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=20; y=18;
[Item] ID=blockedLoE; q=1; x=20; y=18;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=20; y=19;
[Item] ID=blockedLoE; q=1; x=20; y=19;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=20; y=20;
[Item] ID=blockedLoE; q=1; x=20; y=20;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=20; y=21;
[Item] ID=blockedLoE; q=1; x=20; y=21;
[Item] ID=outdoor_mtn_rangeR9_cr; q=1; x=20; y=22;
[Item] ID=blockedLoE; q=1; x=20; y=22;
[Item] ID=outdoor_mtn_rangeM2_cr; q=1; x=20; y=23;
[Item] ID=blockedLoE; q=1; x=20; y=23;
[Item] ID=outdoor_mtn_rangeM1_cr; q=1; x=20; y=24;
[Item] ID=blockedLoE; q=1; x=20; y=24;
[Item] ID=wall7_style5_p; q=3; r=90; x=20; y=25;
[Item] ID=roof2_style2; q=1; x=20; y=25;
[Item] ID=web3; q=1; r=-360; x=20; y=25;
[Item] ID=roof6_style2; q=1; x=20; y=26;
[Item] ID=filth_superfaint; q=2; r=90; x=20; y=26;
[Item] ID=rocks2; q=2; x=20; y=26;
[Item] ID=debris_wood_dark; q=1; x=20; y=26;
[Item] ID=roof10_style2; q=1; x=20; y=27;
[Item] ID=filth_superfaint; q=1; r=270; x=20; y=27;
[Item] ID=wall2_style5_p; q=3; x=20; y=28;
[Item] ID=filth_superfaint; q=2; r=270; x=20; y=28;
[Item] ID=web1; q=1; r=-90; x=20; y=28;
[Item] ID=wall5_style5_p; q=3; x=20; y=29;
[Item] ID=filth; q=2; r=-360; x=20; y=29;
[Item] ID=dirt_sandy2; q=1; r=-270; x=20; y=29;
[Item] ID=cantBlackenTile; q=1; x=20; y=29;
[Item] ID=debris_small3; q=1; r=-90; x=20; y=30;
[Item] ID=pebbles1; q=1; x=20; y=31;
[Item] ID=outdoor_mtn_rangeR8_cr; q=1; x=21; y=15;
[Item] ID=blockedLoE; q=1; x=21; y=15;
[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=21; y=16;
[Item] ID=blockedLoE; q=1; x=21; y=16;
